X ; php bn:01753580n ; mysql bn:01225760n ; texte bn:00076732n ; fichier bn:00021475n ; données bn:00025314n ; types bn:00016413n ; session bn:03751534n ; base de donnees bn:00025333n ; entités bn:00031027n ; site bn:00047172n ; client web bn:00013447n ; langage de script bn:01431715n ; nombre bn:00058285n ; sélectionner bn:00084931v ; post bn:01500184n ; méthode get bn:00045088n ; code bn:00020354n ; utilisateur bn:00079373n ; afficher bn:00087013v ; nécessaire bn:00107182a ; serveur bn:00044916n ; fois bn:00032768n ; programmation bn:00021493n ; class bn:03598962n ; commentaires bn:00020978n ; composer bn:14766022n ; chaîne bn:00074685n ; syntaxe bn:00062118n ; personne bn:00046516n ; hiérarchie bn:00044017n ; définition bn:00025928n ; langage bn:00049910n ; mise bn:00016287n ; mode bn:00033729n ; configuration bn:03088982n ; xml bn:02771436n ; postgresql bn:01709156n ; web bn:00080772n ; méthode bn:01641329n ; bits bn:00010731n ; foreach bn:03463379n ; pouvoir bn:00084450v ; information bn:00046705n ; timestamp bn:03603649n ; easyphp bn:14837849n ; pouvoir bn:00084451v ; impossible bn:00104687a ; public bn:00109211a ; en-tête bn:00043309n ; client bn:00019764n ; java bn:00048043n ; file bn:00065682n ; echo bn:03626250n ; rue bn:00074595n ; void bn:01326821n ; classe bn:03608262n ; exception bn:00032118n ; wamp bn:01708928n ; symfony bn:02798620n ; doctype bn:15839327n ; environnement de développement bn:00748100n ; realisateur bn:00027369n ; informatique bn:00100175a
client web bn:00013447n ; 0.0666667 ; 0.0625 ; 0.333333 ; 0.210526 ; 0.258065 ; 0.0792079 ; 0.111111 ; 0.258065 ; 0.258065 ; 1 ; 1 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.140351 ; 0.0677966 ; 0.117647 ; 0.08 ; 0.2 ; 0.2 ; 0.140351 ; 0.140351 ; 0.0322581 ; 0.0909091 ; 0.111111 ; 0.0540541 ; 0.2 ; 0.140351 ; 0.333333 ; 0.111111 ; 0.0833333 ; 0.258065 ; 0.0909091 ; 0.0792079 ; 0.0526316 ; 0.0909091 ; 0.0434783 ; 0.117647 ; 0.0909091 ; 0.258065 ; 0.140351 ; 0.0909091 ; 0.258065 ; 0.142857 ; 0.0909091 ; 0.111111 ; 0.5 ; 0.2 ; 0.111111 ; 0.0909091 ; 0.0625 ; 0.0909091 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.0625 ; 0.0909091 ; 0.5 ; 0.111111 ; 0.111111 ; 0.25 ; 0.25 ; 0.5
langage de script bn:01431715n ; 0.142857 ; 0.133333 ; 0.142857 ; 0.210526 ; 0.114286 ; 0.0792079 ; 0.25 ; 0.114286 ; 0.0540541 ; 0.142857 ; 0.142857 ; 1 ; 0.333333 ; 0.142857 ; 0.0655738 ; 0.0677966 ; 0.117647 ; 0.0384615 ; 0.0434783 ; 0.0909091 ; 0.0655738 ; 0.0655738 ; 0.142857 ; 0.2 ; 0.111111 ; 0.0540541 ; 0.5 ; 0.0655738 ; 0.142857 ; 0.111111 ; 0.0833333 ; 0.114286 ; 0.0909091 ; 0.0792079 ; 0.0526316 ; 0.0909091 ; 0.0909091 ; 0.117647 ; 0.5 ; 0.0540541 ; 0.0655738 ; 0.0909091 ; 0.114286 ; 0.142857 ; 0.0909091 ; 0.111111 ; 0.0909091 ; 0.0909091 ; 0.0526316 ; 0.0909091 ; 0.133333 ; 0.0909091 ; 0.2 ; 0.111111 ; 0.111111 ; 0.133333 ; 0.0909091 ; 0.2 ; 0.25 ; 0.25 ; 0.111111 ; 0.25 ; 0.2
nombre bn:00058285n ; 0.0666667 ; 0.0625 ; 0.333333 ; 0.210526 ; 0.258065 ; 0.0792079 ; 0.111111 ; 0.258065 ; 0.114286 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.142857 ; 0.0655738 ; 0.0677966 ; 0.117647 ; 0.0384615 ; 0.0909091 ; 0.0909091 ; 0.140351 ; 0.140351 ; 0.0666667 ; 0.2 ; 0.111111 ; 0.0540541 ; 0.5 ; 0.140351 ; 0.142857 ; 0.111111 ; 0.0833333 ; 0.258065 ; 0.0434783 ; 0.0792079 ; 0.0526316 ; 0.0434783 ; 0.0909091 ; 0.117647 ; 0.2 ; 0.114286 ; 0.0655738 ; 0.0909091 ; 0.258065 ; 0.142857 ; 0.0909091 ; 0.111111 ; 0.2 ; 0.0909091 ; 0.0526316 ; 0.0909091 ; 0.0625 ; 0.2 ; 0.2 ; 0.111111 ; 0.111111 ; 0.0625 ; 0.0909091 ; 0.2 ; 0.25 ; 0.25 ; 0.25 ; 0.25 ; 0.5
sélectionner bn:00084931v ; 0.142857 ; 0.0625 ; 0.142857 ; 0.210526 ; 0.0540541 ; 0.0792079 ; 0.0526316 ; 0.0540541 ; 0.114286 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 1 ; 0.140351 ; 0.0677966 ; 0.266667 ; 0.08 ; 0.0909091 ; 0.5 ; 0.0655738 ; 0.0655738 ; 0.0666667 ; 0.0909091 ; 0.0526316 ; 0.258065 ; 0.0909091 ; 0.0655738 ; 0.0666667 ; 0.111111 ; 0.04 ; 0.114286 ; 0.2 ; 0.0792079 ; 0.0526316 ; 0.0909091 ; 0.0909091 ; 0.266667 ; 0.0909091 ; 0.114286 ; 0.140351 ; 0.2 ; 0.0540541 ; 0.142857 ; 0.0909091 ; 0.25 ; 0.2 ; 0.0909091 ; 0.25 ; 0.0909091 ; 0.0625 ; 0.2 ; 0.2 ; 0.111111 ; 0.25 ; 0.0625 ; 0.2 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.25 ; 0.111111 ; 0.2
post bn:01500184n ; 0.0655738 ; 0.158416 ; 0.0655738 ; 0.263158 ; 0.1 ; 0.564356 ; 0.219178 ; 0.1 ; 0.222222 ; 0.140351 ; 0.140351 ; 0.0655738 ; 0.0655738 ; 0.140351 ; 1 ; 0.166667 ; 0.526316 ; 0.57 ; 0.123077 ; 0.280702 ; 0.373494 ; 0.373494 ; 0.164948 ; 0.123077 ; 0.219178 ; 0.222222 ; 0.0338983 ; 0.373494 ; 0.140351 ; 0.0350877 ; 0.243902 ; 0.222222 ; 0.280702 ; 0.564356 ; 0.0987654 ; 0.123077 ; 0.057971 ; 0.225352 ; 0.123077 ; 0.54386 ; 1 ; 0.0701754 ; 0.1 ; 0.140351 ; 0.123077 ; 0.0350877 ; 0.280702 ; 0.280702 ; 0.219178 ; 0.057971 ; 0.158416 ; 0.057971 ; 0.0338983 ; 0.0172414 ; 0.0350877 ; 0.158416 ; 0.0338983 ; 0.0701754 ; 0.0172414 ; 0.0172414 ; 0.0350877 ; 0.0350877 ; 0.0701754
méthode get bn:00045088n ; 0.145455 ; 0.161616 ; 0.0677966 ; 0.129032 ; 0.228571 ; 0.228346 ; 0.225352 ; 0.228571 ; 0.102564 ; 0.0677966 ; 0.0677966 ; 0.0677966 ; 0.0677966 ; 0.0677966 ; 0.166667 ; 1 ; 0.103896 ; 0.260163 ; 0.290909 ; 0.126984 ; 0.154639 ; 0.154639 ; 0.168421 ; 0.0597015 ; 0.101266 ; 0.228571 ; 0.0350877 ; 0.154639 ; 0.0677966 ; 0.0363636 ; 0.572917 ; 0.102564 ; 0.126984 ; 0.228346 ; 0.225352 ; 0.290909 ; 0.126984 ; 0.214286 ; 0.126984 ; 0.102564 ; 0.166667 ; 0.0350877 ; 0.228571 ; 0.0327869 ; 0.126984 ; 0.0178571 ; 0.0597015 ; 0.0597015 ; 0.225352 ; 0.126984 ; 0.161616 ; 0.126984 ; 0.0350877 ; 0.0363636 ; 0.0178571 ; 0.161616 ; 0.0350877 ; 0.0350877 ; 0.0363636 ; 0.0363636 ; 0.0363636 ; 0.0178571 ; 0.0350877
code bn:00020354n ; 0.117647 ; 0.097561 ; 0.117647 ; 0.5 ; 0.0701754 ; 0.29703 ; 0.148148 ; 0.0701754 ; 0.150943 ; 0.117647 ; 0.117647 ; 0.117647 ; 0.117647 ; 0.266667 ; 0.526316 ; 0.103896 ; 1 ; 0.3 ; 0.0952381 ; 0.210526 ; 0.225352 ; 0.225352 ; 0.228571 ; 0.210526 ; 0.148148 ; 0.355556 ; 0.0625 ; 0.225352 ; 0.117647 ; 0.0666667 ; 0.135135 ; 0.150943 ; 0.210526 ; 0.29703 ; 0.0689655 ; 0.0952381 ; 0.0952381 ; 0.153846 ; 0.210526 ; 0.355556 ; 0.526316 ; 0.133333 ; 0.0701754 ; 0.266667 ; 0.0952381 ; 0.0666667 ; 0.210526 ; 0.210526 ; 0.148148 ; 0.0454545 ; 0.097561 ; 0.0952381 ; 0.0625 ; 0.0322581 ; 0.0666667 ; 0.097561 ; 0.0625 ; 0.0625 ; 0.0322581 ; 0.0322581 ; 0.0666667 ; 0.0666667 ; 0.133333
utilisateur bn:00079373n ; 0.08 ; 0.25 ; 0.08 ; 0.15 ; 0.13913 ; 0.395833 ; 0.137931 ; 0.13913 ; 0.31 ; 0.08 ; 0.08 ; 0.0384615 ; 0.0384615 ; 0.08 ; 0.57 ; 0.260163 ; 0.3 ; 1 ; 0.16 ; 0.16 ; 0.246032 ; 0.246032 ; 0.238095 ; 0.0740741 ; 0.137931 ; 0.31 ; 0.0196078 ; 0.246032 ; 0.08 ; 0.02 ; 0.380282 ; 0.13913 ; 0.16 ; 0.395833 ; 0.137931 ; 0.16 ; 0.0740741 ; 0.140351 ; 0.0740741 ; 0.31 ; 0.57 ; 0.04 ; 0.13913 ; 0.08 ; 0.0740741 ; 0.02 ; 0.16 ; 0.16 ; 0.32 ; 0.0740741 ; 0.25 ; 0.0740741 ; 0.0196078 ; 0.02 ; 0.02 ; 0.25 ; 0.04 ; 0.04 ; 0.00990099 ; 0.00990099 ; 0.02 ; 0.02 ; 0.04
afficher bn:00087013v ; 0.2 ; 0.0555556 ; 0.2 ; 0.148148 ; 0.205128 ; 0.0733945 ; 0.0909091 ; 0.205128 ; 0.205128 ; 0.2 ; 0.2 ; 0.0434783 ; 0.0909091 ; 0.0909091 ; 0.123077 ; 0.290909 ; 0.0952381 ; 0.16 ; 1 ; 0.142857 ; 0.123077 ; 0.123077 ; 0.0588235 ; 0.0666667 ; 0.0909091 ; 0.205128 ; 0.0526316 ; 0.123077 ; 0.2 ; 0.125 ; 0.166667 ; 0.0930233 ; 0.142857 ; 0.0733945 ; 0.2 ; 0.333333 ; 0.142857 ; 0.0952381 ; 0.0666667 ; 0.205128 ; 0.123077 ; 0.111111 ; 0.205128 ; 0.0909091 ; 0.142857 ; 0.0588235 ; 0.142857 ; 0.142857 ; 0.2 ; 0.142857 ; 0.0555556 ; 0.142857 ; 0.0526316 ; 0.125 ; 0.0588235 ; 0.0555556 ; 0.111111 ; 0.111111 ; 0.0588235 ; 0.0588235 ; 0.125 ; 0.0588235 ; 0.111111
nécessaire bn:00107182a ; 0.0909091 ; 0.117647 ; 0.0909091 ; 0.148148 ; 0.0930233 ; 0.158416 ; 0.0909091 ; 0.0930233 ; 0.205128 ; 0.2 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.5 ; 0.280702 ; 0.126984 ; 0.210526 ; 0.16 ; 0.142857 ; 1 ; 0.123077 ; 0.123077 ; 0.0588235 ; 0.0666667 ; 0.0909091 ; 0.205128 ; 0.0526316 ; 0.123077 ; 0.0909091 ; 0.0588235 ; 0.0769231 ; 0.205128 ; 0.333333 ; 0.158416 ; 0.0909091 ; 0.142857 ; 0.0666667 ; 0.533333 ; 0.0666667 ; 0.205128 ; 0.280702 ; 0.111111 ; 0.0930233 ; 0.0909091 ; 0.142857 ; 0.125 ; 0.333333 ; 0.142857 ; 0.5 ; 0.142857 ; 0.117647 ; 0.142857 ; 0.111111 ; 0.0588235 ; 0.125 ; 0.117647 ; 0.111111 ; 0.111111 ; 0.0588235 ; 0.0588235 ; 0.125 ; 0.0588235 ; 0.111111
serveur bn:00044916n ; 0.031746 ; 0.158416 ; 0.0655738 ; 0.125 ; 0.222222 ; 0.564356 ; 0.219178 ; 0.222222 ; 0.222222 ; 0.140351 ; 0.140351 ; 0.0655738 ; 0.140351 ; 0.0655738 ; 0.373494 ; 0.154639 ; 0.225352 ; 0.246032 ; 0.123077 ; 0.123077 ; 1 ; 1 ; 0.164948 ; 0.280702 ; 0.561404 ; 0.1 ; 0.0701754 ; 1 ; 0.140351 ; 0.0350877 ; 0.243902 ; 0.54386 ; 0.123077 ; 0.564356 ; 0.219178 ; 0.057971 ; 0.123077 ; 0.225352 ; 0.123077 ; 0.54386 ; 0.373494 ; 0.0701754 ; 0.222222 ; 0.140351 ; 0.280702 ; 0.0350877 ; 0.280702 ; 0.280702 ; 0.0987654 ; 0.123077 ; 0.158416 ; 0.123077 ; 0.0701754 ; 0.0172414 ; 0.0350877 ; 0.158416 ; 0.0338983 ; 0.0701754 ; 0.0350877 ; 0.0350877 ; 0.0350877 ; 0.0350877 ; 0.0701754
fois bn:00032768n ; 0.031746 ; 0.158416 ; 0.0655738 ; 0.125 ; 0.222222 ; 0.564356 ; 0.219178 ; 0.222222 ; 0.222222 ; 0.140351 ; 0.140351 ; 0.0655738 ; 0.140351 ; 0.0655738 ; 0.373494 ; 0.154639 ; 0.225352 ; 0.246032 ; 0.123077 ; 0.123077 ; 1 ; 1 ; 0.164948 ; 0.280702 ; 0.561404 ; 0.1 ; 0.0701754 ; 1 ; 0.140351 ; 0.0350877 ; 0.243902 ; 0.54386 ; 0.123077 ; 0.564356 ; 0.219178 ; 0.057971 ; 0.123077 ; 0.225352 ; 0.123077 ; 0.54386 ; 0.373494 ; 0.0701754 ; 0.222222 ; 0.140351 ; 0.280702 ; 0.0350877 ; 0.280702 ; 0.280702 ; 0.0987654 ; 0.123077 ; 0.158416 ; 0.123077 ; 0.0701754 ; 0.0172414 ; 0.0350877 ; 0.158416 ; 0.0338983 ; 0.0701754 ; 0.0350877 ; 0.0350877 ; 0.0350877 ; 0.0350877 ; 0.0701754
programmation bn:00021493n ; 0.142857 ; 0.348837 ; 0.0666667 ; 0.126984 ; 0.101266 ; 0.246032 ; 0.222222 ; 0.101266 ; 0.101266 ; 0.0322581 ; 0.0322581 ; 0.142857 ; 0.0666667 ; 0.0666667 ; 0.164948 ; 0.168421 ; 0.228571 ; 0.238095 ; 0.0588235 ; 0.0588235 ; 0.164948 ; 0.164948 ; 1 ; 0.285714 ; 0.222222 ; 0.225352 ; 0.0714286 ; 0.164948 ; 0.0666667 ; 0.0357143 ; 0.245902 ; 0.101266 ; 0.125 ; 0.246032 ; 0.222222 ; 0.125 ; 0.285714 ; 0.102564 ; 0.285714 ; 0.101266 ; 0.164948 ; 0.0714286 ; 0.101266 ; 0.142857 ; 0.125 ; 0.0357143 ; 0.0588235 ; 0.125 ; 0.1 ; 0.125 ; 0.348837 ; 0.125 ; 0.0714286 ; 0.0357143 ; 0.0357143 ; 0.348837 ; 0.0714286 ; 0.0344828 ; 0.0357143 ; 0.0357143 ; 0.0175439 ; 0.0357143 ; 0.0344828
class bn:03598962n ; 0.0909091 ; 0.117647 ; 0.0909091 ; 0.148148 ; 0.0930233 ; 0.158416 ; 0.2 ; 0.0930233 ; 0.0930233 ; 0.0909091 ; 0.0909091 ; 0.2 ; 0.2 ; 0.0909091 ; 0.123077 ; 0.0597015 ; 0.210526 ; 0.0740741 ; 0.0666667 ; 0.0666667 ; 0.280702 ; 0.280702 ; 0.285714 ; 1 ; 0.5 ; 0.0930233 ; 0.25 ; 0.280702 ; 0.2 ; 0.125 ; 0.0769231 ; 0.205128 ; 0.142857 ; 0.158416 ; 0.2 ; 0.0666667 ; 0.333333 ; 0.0952381 ; 0.333333 ; 0.205128 ; 0.123077 ; 0.25 ; 0.0930233 ; 0.5 ; 0.333333 ; 0.125 ; 0.142857 ; 0.333333 ; 0.0434783 ; 0.142857 ; 0.117647 ; 0.142857 ; 0.25 ; 0.0588235 ; 0.125 ; 0.117647 ; 0.111111 ; 0.111111 ; 0.125 ; 0.125 ; 0.0588235 ; 0.125 ; 0.111111
