X ; php bn:01753580n ; texte bn:00076732n ; fichier bn:00021475n ; données bn:00025314n ; base de donnees bn:00025333n ; site bn:00047172n ; client web bn:00013447n ; langage de script bn:01431715n ; nombre bn:00058285n ; sélectionner bn:00084931v ; code bn:00020354n ; afficher bn:00087013v ; nécessaire bn:00107182a ; serveur bn:00044916n ; fois bn:00032768n ; class bn:03598962n ; commentaires bn:00020978n ; chaîne bn:00074685n ; syntaxe bn:00062118n ; personne bn:00046516n ; hiérarchie bn:00044017n ; langage bn:00049910n ; méthode bn:01641329n ; pouvoir bn:00084450v ; timestamp bn:03603649n ; pouvoir bn:00084451v ; client bn:00019764n ; echo bn:03626250n ; rue bn:00074595n ; void bn:01326821n ; exception bn:00032118n ; wamp bn:01708928n ; symfony bn:02798620n ; doctype bn:15839327n ; environnement de développement bn:00748100n ; realisateur bn:00027369n ; informatique bn:00100175a
fois bn:00032768n ; 0.0487805 ; 0.0952381 ; 0.181818 ; 0.358974 ; 0.304348 ; 0.205128 ; 0.205128 ; 0.0952381 ; 0.179487 ; 0.0952381 ; 0.326087 ; 0.177778 ; 0.186047 ; 0.0512821 ; 1 ; 0.358974 ; 0.615385 ; 0.102564 ; 1 ; 0.205128 ; 0.0512821 ; 0.641026 ; 0.159091 ; 0.102564 ; 0.205128 ; 0.0512821 ; 0.181818 ; 0.102564 ; 0.025 ; 0.0512821 ; 0.0487805 ; 0.102564 ; 0.0512821 ; 0.0512821 ; 0.0512821 ; 0.0512821 ; 0.102564
class bn:03598962n ; 0.125 ; 0.105263 ; 0.173913 ; 0.166667 ; 0.129032 ; 0.1 ; 0.1 ; 0.235294 ; 0.235294 ; 0.105263 ; 0.285714 ; 0.0769231 ; 0.0833333 ; 0.0666667 ; 0.358974 ; 1 ; 0.583333 ; 0.285714 ; 0.358974 ; 0.222222 ; 0.142857 ; 0.258065 ; 0.368421 ; 0.285714 ; 0.571429 ; 0.142857 ; 0.173913 ; 0.285714 ; 0.0666667 ; 0.142857 ; 0.125 ; 0.125 ; 0.142857 ; 0.142857 ; 0.0666667 ; 0.142857 ; 0.125
commentaires bn:00020978n ; 0.0769231 ; 0.0689655 ; 0.121212 ; 0.266667 ; 0.216216 ; 0.142857 ; 0.142857 ; 0.148148 ; 0.148148 ; 0.0689655 ; 0.210526 ; 0.117647 ; 0.125 ; 0.04 ; 0.615385 ; 0.583333 ; 1 ; 0.166667 ; 0.615385 ; 0.333333 ; 0.0833333 ; 0.441176 ; 0.241379 ; 0.166667 ; 0.333333 ; 0.0833333 ; 0.275862 ; 0.166667 ; 0.04 ; 0.0833333 ; 0.0769231 ; 0.166667 ; 0.0833333 ; 0.0833333 ; 0.04 ; 0.0833333 ; 0.0769231
chaîne bn:00074685n ; 0.142857 ; 0.222222 ; 0.133333 ; 0.285714 ; 0.190476 ; 0.2 ; 0.2 ; 0.571429 ; 0.571429 ; 0.1 ; 0.0833333 ; 0.0588235 ; 0.0666667 ; 0.2 ; 0.102564 ; 0.285714 ; 0.166667 ; 1 ; 0.102564 ; 0.2 ; 0.2 ; 0.16 ; 0.333333 ; 0.142857 ; 0.2 ; 0.2 ; 0.133333 ; 0.333333 ; 0.2 ; 0.2 ; 0.142857 ; 0.333333 ; 0.5 ; 0.5 ; 0.2 ; 0.5 ; 0.333333
syntaxe bn:00062118n ; 0.0487805 ; 0.0952381 ; 0.181818 ; 0.358974 ; 0.304348 ; 0.205128 ; 0.205128 ; 0.0952381 ; 0.179487 ; 0.0952381 ; 0.326087 ; 0.177778 ; 0.186047 ; 0.0512821 ; 1 ; 0.358974 ; 0.615385 ; 0.102564 ; 1 ; 0.205128 ; 0.0512821 ; 0.641026 ; 0.159091 ; 0.102564 ; 0.205128 ; 0.0512821 ; 0.181818 ; 0.102564 ; 0.025 ; 0.0512821 ; 0.0487805 ; 0.102564 ; 0.0512821 ; 0.0512821 ; 0.0512821 ; 0.0512821 ; 0.102564
personne bn:00046516n ; 0.2 ; 0.153846 ; 0.235294 ; 0.222222 ; 0.16 ; 0.333333 ; 0.333333 ; 0.153846 ; 0.153846 ; 0.0714286 ; 0.153846 ; 0.222222 ; 0.111111 ; 0.111111 ; 0.205128 ; 0.222222 ; 0.333333 ; 0.2 ; 0.205128 ; 1 ; 0.25 ; 0.137931 ; 0.25 ; 0.2 ; 0.333333 ; 0.111111 ; 0.105263 ; 0.0909091 ; 0.111111 ; 0.111111 ; 0.0909091 ; 0.5 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.25 ; 0.2
hiérarchie bn:00044017n ; 0.5 ; 0.125 ; 0.153846 ; 0.0666667 ; 0.0454545 ; 0.111111 ; 0.111111 ; 0.125 ; 0.125 ; 0.125 ; 0.0909091 ; 0.142857 ; 0.0769231 ; 0.333333 ; 0.0512821 ; 0.142857 ; 0.0833333 ; 0.2 ; 0.0512821 ; 0.25 ; 1 ; 0.0384615 ; 0.166667 ; 0.5 ; 0.25 ; 0.333333 ; 0.0714286 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2
langage bn:00049910n ; 0.0357143 ; 0.142857 ; 0.117647 ; 0.56 ; 0.4375 ; 0.32 ; 0.32 ; 0.142857 ; 0.28 ; 0.142857 ; 0.205128 ; 0.114286 ; 0.275862 ; 0.08 ; 0.641026 ; 0.258065 ; 0.441176 ; 0.16 ; 0.641026 ; 0.137931 ; 0.0384615 ; 1 ; 0.121212 ; 0.0740741 ; 0.137931 ; 0.08 ; 0.266667 ; 0.16 ; 0.0384615 ; 0.08 ; 0.0740741 ; 0.16 ; 0.08 ; 0.08 ; 0.08 ; 0.08 ; 0.16
méthode bn:01641329n ; 0.142857 ; 0.117647 ; 0.388889 ; 0.181818 ; 0.137931 ; 0.111111 ; 0.111111 ; 0.583333 ; 0.266667 ; 0.117647 ; 0.259259 ; 0.0833333 ; 0.0909091 ; 0.0769231 ; 0.159091 ; 0.368421 ; 0.241379 ; 0.333333 ; 0.159091 ; 0.25 ; 0.166667 ; 0.121212 ; 1 ; 0.142857 ; 0.25 ; 0.0769231 ; 0.0869565 ; 0.142857 ; 0.0769231 ; 0.0769231 ; 0.0666667 ; 0.142857 ; 0.166667 ; 0.166667 ; 0.0769231 ; 0.166667 ; 0.142857
pouvoir bn:00084450v ; 0.333333 ; 0.1 ; 0.133333 ; 0.0588235 ; 0.0416667 ; 0.0909091 ; 0.0909091 ; 0.1 ; 0.1 ; 0.222222 ; 0.181818 ; 0.125 ; 0.142857 ; 0.2 ; 0.102564 ; 0.285714 ; 0.166667 ; 0.142857 ; 0.102564 ; 0.2 ; 0.5 ; 0.0740741 ; 0.142857 ; 1 ; 0.5 ; 0.5 ; 0.133333 ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.142857
timestamp bn:03603649n ; 0.2 ; 0.153846 ; 0.235294 ; 0.1 ; 0.0740741 ; 0.142857 ; 0.142857 ; 0.153846 ; 0.153846 ; 0.153846 ; 0.363636 ; 0.1 ; 0.111111 ; 0.111111 ; 0.205128 ; 0.571429 ; 0.333333 ; 0.2 ; 0.205128 ; 0.333333 ; 0.25 ; 0.137931 ; 0.25 ; 0.5 ; 1 ; 0.25 ; 0.105263 ; 0.2 ; 0.111111 ; 0.25 ; 0.2 ; 0.2 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.25 ; 0.2
pouvoir bn:00084451v ; 0.2 ; 0.125 ; 0.0714286 ; 0.0666667 ; 0.0454545 ; 0.111111 ; 0.111111 ; 0.125 ; 0.125 ; 0.285714 ; 0.0909091 ; 0.0666667 ; 0.166667 ; 0.333333 ; 0.0512821 ; 0.142857 ; 0.0833333 ; 0.2 ; 0.0512821 ; 0.111111 ; 0.333333 ; 0.08 ; 0.0769231 ; 0.5 ; 0.25 ; 1 ; 0.153846 ; 0.5 ; 0.333333 ; 1 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2
client bn:00019764n ; 0.133333 ; 0.111111 ; 0.04 ; 0.173913 ; 0.259259 ; 0.105263 ; 0.105263 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.0606061 ; 0.173913 ; 0.190476 ; 0.0714286 ; 0.181818 ; 0.173913 ; 0.275862 ; 0.133333 ; 0.181818 ; 0.105263 ; 0.0714286 ; 0.266667 ; 0.0869565 ; 0.133333 ; 0.105263 ; 0.153846 ; 1 ; 0.307692 ; 0.153846 ; 0.153846 ; 0.307692 ; 0.133333 ; 0.153846 ; 0.153846 ; 0.0714286 ; 0.0714286 ; 0.0625
echo bn:03626250n ; 0.142857 ; 0.1 ; 0.0625 ; 0.125 ; 0.0869565 ; 0.0909091 ; 0.0909091 ; 0.222222 ; 0.222222 ; 0.222222 ; 0.0833333 ; 0.0588235 ; 0.142857 ; 0.2 ; 0.102564 ; 0.285714 ; 0.166667 ; 0.333333 ; 0.102564 ; 0.0909091 ; 0.2 ; 0.16 ; 0.142857 ; 0.333333 ; 0.2 ; 0.5 ; 0.307692 ; 1 ; 0.2 ; 0.5 ; 0.333333 ; 0.142857 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.142857
rue bn:00074595n ; 0.5 ; 0.285714 ; 0.0714286 ; 0.0666667 ; 0.0952381 ; 0.111111 ; 0.111111 ; 0.125 ; 0.125 ; 0.125 ; 0.0434783 ; 0.142857 ; 0.0769231 ; 0.333333 ; 0.025 ; 0.0666667 ; 0.04 ; 0.2 ; 0.025 ; 0.111111 ; 0.333333 ; 0.0384615 ; 0.0769231 ; 0.2 ; 0.111111 ; 0.333333 ; 0.153846 ; 0.2 ; 1 ; 0.333333 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2
void bn:01326821n ; 0.2 ; 0.125 ; 0.0714286 ; 0.0666667 ; 0.0454545 ; 0.111111 ; 0.111111 ; 0.125 ; 0.125 ; 0.285714 ; 0.0909091 ; 0.0666667 ; 0.166667 ; 0.333333 ; 0.0512821 ; 0.142857 ; 0.0833333 ; 0.2 ; 0.0512821 ; 0.111111 ; 0.333333 ; 0.08 ; 0.0769231 ; 0.5 ; 0.25 ; 1 ; 0.153846 ; 0.5 ; 0.333333 ; 1 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2
exception bn:00032118n ; 0.333333 ; 0.222222 ; 0.0625 ; 0.0588235 ; 0.0869565 ; 0.0909091 ; 0.0909091 ; 0.1 ; 0.1 ; 0.222222 ; 0.0833333 ; 0.125 ; 0.142857 ; 0.2 ; 0.0487805 ; 0.125 ; 0.0769231 ; 0.142857 ; 0.0487805 ; 0.0909091 ; 0.2 ; 0.0740741 ; 0.0666667 ; 0.333333 ; 0.2 ; 0.5 ; 0.307692 ; 0.333333 ; 0.5 ; 0.5 ; 1 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.142857
wamp bn:01708928n ; 0.142857 ; 0.222222 ; 0.133333 ; 0.285714 ; 0.190476 ; 0.5 ; 0.5 ; 0.222222 ; 0.222222 ; 0.1 ; 0.0833333 ; 0.125 ; 0.142857 ; 0.2 ; 0.102564 ; 0.125 ; 0.166667 ; 0.333333 ; 0.102564 ; 0.5 ; 0.2 ; 0.16 ; 0.142857 ; 0.142857 ; 0.2 ; 0.2 ; 0.133333 ; 0.142857 ; 0.2 ; 0.2 ; 0.142857 ; 1 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.333333
symfony bn:02798620n ; 0.2 ; 0.125 ; 0.0714286 ; 0.142857 ; 0.0952381 ; 0.111111 ; 0.111111 ; 0.285714 ; 0.285714 ; 0.125 ; 0.0434783 ; 0.0666667 ; 0.0769231 ; 0.333333 ; 0.0512821 ; 0.142857 ; 0.0833333 ; 0.5 ; 0.0512821 ; 0.111111 ; 0.333333 ; 0.08 ; 0.166667 ; 0.2 ; 0.111111 ; 0.333333 ; 0.153846 ; 0.5 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.2
doctype bn:15839327n ; 0.2 ; 0.125 ; 0.0714286 ; 0.142857 ; 0.0952381 ; 0.111111 ; 0.111111 ; 0.285714 ; 0.285714 ; 0.125 ; 0.0434783 ; 0.0666667 ; 0.0769231 ; 0.333333 ; 0.0512821 ; 0.142857 ; 0.0833333 ; 0.5 ; 0.0512821 ; 0.111111 ; 0.333333 ; 0.08 ; 0.166667 ; 0.2 ; 0.111111 ; 0.333333 ; 0.153846 ; 0.5 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.2
environnement de développement bn:00748100n ; 0.2 ; 0.285714 ; 0.153846 ; 0.142857 ; 0.0952381 ; 0.25 ; 0.25 ; 0.125 ; 0.285714 ; 0.285714 ; 0.0909091 ; 0.142857 ; 0.166667 ; 1 ; 0.0512821 ; 0.0666667 ; 0.04 ; 0.2 ; 0.0512821 ; 0.111111 ; 0.333333 ; 0.08 ; 0.0769231 ; 0.2 ; 0.111111 ; 0.333333 ; 0.0714286 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.5
realisateur bn:00027369n ; 0.2 ; 0.285714 ; 0.153846 ; 0.142857 ; 0.0952381 ; 0.25 ; 0.25 ; 0.285714 ; 0.285714 ; 0.125 ; 0.0909091 ; 0.0666667 ; 0.0769231 ; 0.333333 ; 0.0512821 ; 0.142857 ; 0.0833333 ; 0.5 ; 0.0512821 ; 0.25 ; 0.333333 ; 0.08 ; 0.166667 ; 0.2 ; 0.25 ; 0.333333 ; 0.0714286 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.5
informatique bn:00100175a ; 0.142857 ; 0.571429 ; 0.307692 ; 0.285714 ; 0.190476 ; 0.5 ; 0.5 ; 0.222222 ; 0.571429 ; 0.222222 ; 0.181818 ; 0.125 ; 0.142857 ; 0.5 ; 0.102564 ; 0.125 ; 0.0769231 ; 0.333333 ; 0.102564 ; 0.2 ; 0.2 ; 0.16 ; 0.142857 ; 0.142857 ; 0.2 ; 0.2 ; 0.0625 ; 0.142857 ; 0.2 ; 0.2 ; 0.142857 ; 0.333333 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 1
