X ; page web bn:00080778n ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; délimiter bn:00086464v ; post bn:01500184n ; nombre bn:00058285n ; méthode post bn:00045088n ; machine bn:00054050n ; mysql bn:01225760n ; salaire bn:15928884n ; site bn:00047172n ; chaîne bn:00074685n ; moteur bn:00030850n ; langage de script bn:01431715n ; opérateur bn:16281811n ; super bn:17336345n ; type bn:00016413n ; foreach bn:03463379n ; transaction bn:01403911n ; côté client bn:03163702n ; bienvenue bn:00080852n ; session bn:03751534n ; pouvoir bn:00084451v ; france bn:00036202n ; timestamp bn:03603649n ; accéder bn:00082209v
salaire bn:15928884n ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.111111 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.1 ; 1 ; 0.333333 ; 1 ; 0.2 ; 0.5 ; 1 ; 0.5 ; 1 ; 1 ; 0.333333 ; 0.111111 ; 1 ; 1 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333
site bn:00047172n ; 0.2 ; 0.2 ; 0.333333 ; 0.142857 ; 0.2 ; 0.142857 ; 0.111111 ; 0.333333 ; 0.0769231 ; 0.181818 ; 0.2 ; 0.2 ; 0.2 ; 1 ; 0.142857 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.2
chaîne bn:00074685n ; 0.5 ; 0.2 ; 0.142857 ; 0.142857 ; 0.0909091 ; 0.142857 ; 0.666667 ; 0.142857 ; 0.4 ; 0.181818 ; 0.5 ; 0.2 ; 0.5 ; 0.142857 ; 1 ; 0.5 ; 0.333333 ; 0.5 ; 0.5 ; 0.2 ; 0.0909091 ; 0.5 ; 0.5 ; 0.5 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2
moteur bn:00030850n ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.111111 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.1 ; 1 ; 0.333333 ; 1 ; 0.2 ; 0.5 ; 1 ; 0.5 ; 1 ; 1 ; 0.333333 ; 0.111111 ; 1 ; 1 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333
langage de script bn:01431715n ; 0.2 ; 0.2 ; 0.142857 ; 0.142857 ; 0.2 ; 0.142857 ; 0.25 ; 0.333333 ; 0.166667 ; 0.181818 ; 0.5 ; 0.2 ; 0.5 ; 0.333333 ; 0.333333 ; 0.5 ; 1 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.5 ; 0.2 ; 0.5 ; 0.5 ; 0.5 ; 0.2
opérateur bn:16281811n ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.111111 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.1 ; 1 ; 0.333333 ; 1 ; 0.2 ; 0.5 ; 1 ; 0.5 ; 1 ; 1 ; 0.333333 ; 0.111111 ; 1 ; 1 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333
super bn:17336345n ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.111111 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.1 ; 1 ; 0.333333 ; 1 ; 0.2 ; 0.5 ; 1 ; 0.5 ; 1 ; 1 ; 0.333333 ; 0.111111 ; 1 ; 1 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333
type bn:00016413n ; 0.333333 ; 0.333333 ; 0.2 ; 0.5 ; 0.25 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.222222 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
foreach bn:03463379n ; 0.111111 ; 0.25 ; 0.2 ; 0.2 ; 0.333333 ; 0.5 ; 0.166667 ; 0.5 ; 0.125 ; 0.307692 ; 0.111111 ; 0.25 ; 0.111111 ; 0.2 ; 0.0909091 ; 0.111111 ; 0.2 ; 0.111111 ; 0.111111 ; 0.111111 ; 1 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.25 ; 0.111111 ; 0.25 ; 0.25 ; 0.25
transaction bn:01403911n ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.111111 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.1 ; 1 ; 0.333333 ; 1 ; 0.2 ; 0.5 ; 1 ; 0.5 ; 1 ; 1 ; 0.333333 ; 0.111111 ; 1 ; 1 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333
côté client bn:03163702n ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.111111 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.1 ; 1 ; 0.333333 ; 1 ; 0.2 ; 0.5 ; 1 ; 0.5 ; 1 ; 1 ; 0.333333 ; 0.111111 ; 1 ; 1 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333
bienvenue bn:00080852n ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.111111 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.1 ; 1 ; 0.333333 ; 1 ; 0.2 ; 0.5 ; 1 ; 0.5 ; 1 ; 1 ; 0.333333 ; 0.111111 ; 1 ; 1 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333
session bn:03751534n ; 0.333333 ; 0.333333 ; 0.5 ; 0.5 ; 0.25 ; 0.5 ; 0.333333 ; 0.2 ; 0.2 ; 0.1 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
pouvoir bn:00084451v ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.111111 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.1 ; 1 ; 0.333333 ; 1 ; 0.2 ; 0.5 ; 1 ; 0.5 ; 1 ; 1 ; 0.333333 ; 0.111111 ; 1 ; 1 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333
france bn:00036202n ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.25 ; 0.2 ; 0.142857 ; 0.5 ; 0.0909091 ; 0.222222 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.2 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333
timestamp bn:03603649n ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.25 ; 0.2 ; 0.142857 ; 0.5 ; 0.0909091 ; 0.222222 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.2 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333
accéder bn:00082209v ; 0.333333 ; 1 ; 0.2 ; 0.2 ; 0.111111 ; 0.5 ; 0.142857 ; 0.5 ; 0.0909091 ; 0.222222 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.25 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1
