X;php;mysql;texte;fichier;données;types;session;base de donnees;entités;site;langage de script;nombre;sélectionner;post;méthode get;code;utilisateur;afficher;nécessaire;serveur;fois;programmation;class;commentaires;composer;chaîne;syntaxe;personne;définition;langage;mode;configuration;xml;postgresql;web;méthode;bits;foreach;pouvoir;information;timestamp;easyphp;impossible;en-tête;client;file;echo;rue;exception;wamp;symfony;doctype;realisateur;informatique
code;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;0.333333;1;0.2;0.333333;0.333333;1;0.333333;1;1;1;0.2;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.2;0.333333;0.333333;1;0.333333;0.333333;1;0.333333
utilisateur;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;0.333333;1;0.2;0.333333;0.333333;1;0.333333;1;1;1;0.2;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.2;0.333333;0.333333;1;0.333333;0.333333;1;0.333333
afficher;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;0.333333;1;0.2;0.333333;0.333333;1;0.333333;1;1;1;0.2;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.2;0.333333;0.333333;1;0.333333;0.333333;1;0.333333
nécessaire;0.2;0.5;0.5;0.2;0.2;0.5;0.2;0.333333;0.5;0.2;1;0.2;0.5;0.2;0.2;0.2;0.2;0.2;1;0.333333;0.333333;0.2;0.2;0.5;0.2;0.333333;0.333333;0.2;0.2;0.5;0.5;0.2;0.2;0.2;0.5;0.2;0.5;0.2;0.5;0.5;0.2;0.5;0.5;0.2;0.142857;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2
serveur;0.2;0.2;0.2;0.2;0.5;0.5;0.2;0.333333;0.2;0.2;0.333333;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.333333;1;1;0.2;0.2;0.5;0.2;0.333333;1;0.5;0.2;0.5;0.5;0.2;0.2;0.5;0.2;0.2;0.5;0.2;0.5;0.2;0.2;0.5;0.2;0.2;0.333333;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2;0.5
fois;0.2;0.2;0.2;0.2;0.5;0.5;0.2;0.333333;0.2;0.2;0.333333;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.333333;1;1;0.2;0.2;0.5;0.2;0.333333;1;0.5;0.2;0.5;0.5;0.2;0.2;0.5;0.2;0.2;0.5;0.2;0.5;0.2;0.2;0.5;0.2;0.2;0.333333;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2;0.5
programmation;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.2;1;1;0.333333;0.333333;0.5;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;1;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333
class;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.2;1;1;0.333333;0.333333;0.5;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;1;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333
commentaires;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.5;0.5;0.333333;0.333333;1;0.333333;0.5;0.5;0.333333;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;1;0.333333;0.333333;1;0.333333;0.333333;0.2;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
composer;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;0.2;0.2;0.333333;0.333333;0.333333;1;0.2;0.2;0.333333;0.333333;0.333333;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.333333;0.333333;1;1;0.333333;0.333333
chaîne;0.2;0.2;0.2;0.2;0.2;0.5;0.2;0.142857;0.2;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.333333;0.333333;0.333333;0.5;0.5;0.5;0.2;1;0.333333;0.2;0.2;0.5;0.5;0.2;0.2;0.2;0.2;0.5;0.5;0.2;0.5;0.2;0.5;0.5;0.2;0.2;0.142857;0.5;1;0.2;0.5;0.2;0.2;0.2;0.2;0.2
syntaxe;0.2;0.2;0.2;0.2;0.5;0.5;0.2;0.333333;0.2;0.2;0.333333;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.333333;1;1;0.2;0.2;0.5;0.2;0.333333;1;0.5;0.2;0.5;0.5;0.2;0.2;0.5;0.2;0.2;0.5;0.2;0.5;0.2;0.2;0.5;0.2;0.2;0.333333;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2;0.5
personne;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.5;0.333333;0.333333;0.2;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.5;0.5;0.333333;0.333333;0.333333;0.333333;0.2;0.5;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1
définition;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.2;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
langage;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.5;0.5;0.333333;0.333333;1;0.333333;0.5;0.5;0.333333;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;1;0.333333;0.333333;1;0.333333;0.333333;0.2;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
mode;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.5;0.5;0.333333;0.333333;1;0.333333;0.5;0.5;0.333333;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;1;0.333333;0.333333;1;0.333333;0.333333;0.2;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
configuration;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;0.2;0.2;0.333333;0.333333;0.333333;1;0.2;0.2;0.333333;0.333333;0.333333;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.333333;0.333333;1;1;0.333333;0.333333
xml;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;0.2;0.2;0.333333;0.333333;0.333333;1;0.2;0.2;0.333333;0.333333;0.333333;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.333333;0.333333;1;1;0.333333;0.333333
postgresql;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.5;0.333333;0.333333;0.2;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.5;0.5;0.333333;0.333333;0.333333;0.333333;0.2;0.5;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1
web;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.5;1;0.333333;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;1;0.333333;0.2;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
méthode;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.2;1;1;0.333333;0.333333;0.5;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;1;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333
bits;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.5;0.5;0.333333;0.333333;1;0.333333;0.5;0.5;0.333333;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;1;0.333333;0.333333;1;0.333333;0.333333;0.2;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
foreach;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;0.333333;1;0.2;0.333333;0.333333;1;0.333333;1;1;1;0.2;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.2;0.333333;0.333333;1;0.333333;0.333333;1;0.333333
pouvoir;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.5;0.5;0.333333;0.333333;1;0.333333;0.5;0.5;0.333333;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;1;0.333333;0.333333;1;0.333333;0.333333;0.2;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
information;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.5;1;0.333333;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;1;0.333333;0.2;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
timestamp;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.2;1;1;0.333333;0.333333;0.5;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;1;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333
easyphp;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.5;0.5;0.333333;0.333333;1;0.333333;0.5;0.5;0.333333;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;1;0.333333;0.333333;1;0.333333;0.333333;0.2;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
impossible;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.5;1;0.333333;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;1;0.333333;0.2;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
en-tête;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;0.333333;1;0.2;0.333333;0.333333;1;0.333333;1;1;1;0.2;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.2;0.333333;0.333333;1;0.333333;0.333333;1;0.333333
client;0.5;0.2;0.2;0.2;0.5;0.2;0.2;0.333333;0.2;0.2;0.142857;0.5;0.2;0.2;0.5;0.2;0.2;0.2;0.142857;0.333333;0.333333;0.2;0.2;0.2;0.5;0.142857;0.333333;0.5;0.2;0.2;0.2;0.5;0.5;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;1;0.2;0.142857;0.2;0.2;0.2;0.5;0.5;0.2;0.5
file;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.2;1;1;0.333333;0.333333;0.5;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;1;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333
echo;0.2;0.2;0.2;0.2;0.2;0.5;0.2;0.142857;0.2;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.333333;0.333333;0.333333;0.5;0.5;0.5;0.2;1;0.333333;0.2;0.2;0.5;0.5;0.2;0.2;0.2;0.2;0.5;0.5;0.2;0.5;0.2;0.5;0.5;0.2;0.2;0.142857;0.5;1;0.2;0.5;0.2;0.2;0.2;0.2;0.2
rue;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.2;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
exception;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.2;1;1;0.333333;0.333333;0.5;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;1;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333
wamp;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;0.333333;1;0.2;0.333333;0.333333;1;0.333333;1;1;1;0.2;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.2;0.333333;0.333333;1;0.333333;0.333333;1;0.333333
symfony;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;0.2;0.2;0.333333;0.333333;0.333333;1;0.2;0.2;0.333333;0.333333;0.333333;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.333333;0.333333;1;1;0.333333;0.333333
doctype;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;0.2;0.2;0.333333;0.333333;0.333333;1;0.2;0.2;0.333333;0.333333;0.333333;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.333333;0.333333;1;1;0.333333;0.333333
realisateur;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;0.333333;1;0.2;0.333333;0.333333;1;0.333333;1;1;1;0.2;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.2;0.333333;0.333333;1;0.333333;0.333333;1;0.333333
informatique;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.5;0.333333;0.333333;0.2;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.5;0.5;0.333333;0.333333;0.333333;0.333333;0.2;0.5;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1
