X;php;mysql;texte;fichier;données;types;session;base de donnees;entités;site;client web;langage de script;nombre;sélectionner;post;méthode get;code;utilisateur;afficher;nécessaire;serveur;fois;programmation;class;commentaires;composer;chaîne;syntaxe;personne;définition;langage;mode;configuration;xml;postgresql;web;méthode;bits;foreach;pouvoir;information;timestamp;easyphp;pouvoir;impossible;en-tête;client;file;echo;rue;exception;wamp;symfony;doctype;realisateur;informatique
client web;0.0833333;0.0909091;0.481481;0.363636;0.318182;0.0909091;0.0909091;0.318182;0.0909091;0.0909091;1;0.181818;0.481481;0.0909091;0.0909091;0.0833333;0.153846;0.0909091;0.363636;0.181818;0.181818;0.181818;0.0434783;0.0434783;0.0909091;0.0434783;0.0833333;0.181818;0.0909091;0.0909091;0.363636;0.0909091;0.0434783;0.0434783;0.0909091;0.0909091;0.0833333;0.0909091;0.0909091;0.0909091;0.0909091;0.0434783;0.0909091;0.318182;0.0909091;0.0909091;0.0833333;0.0434783;0.0833333;0.0909091;0.0434783;0.0909091;0.0434783;0.0434783;0.0909091;0.0909091
langage de script;0.142857;0.5;0.1;0.2;0.222222;0.5;0.2;0.222222;0.5;0.2;0.181818;1;0.222222;0.5;0.2;0.142857;0.2;0.2;0.0909091;1;0.333333;0.333333;0.2;0.2;0.5;0.2;0.333333;0.333333;0.2;0.2;0.5;0.5;0.2;0.2;0.2;0.5;0.142857;0.5;0.2;0.5;0.5;0.2;0.5;0.222222;0.5;0.2;0.142857;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2
nombre;0.047619;0.111111;0.384615;0.181818;0.388889;0.111111;0.111111;0.388889;0.111111;0.0526316;0.481481;0.222222;1;0.111111;0.0526316;0.1;0.181818;0.0526316;0.181818;0.222222;0.222222;0.222222;0.111111;0.111111;0.111111;0.0526316;0.222222;0.222222;0.111111;0.111111;0.444444;0.111111;0.0526316;0.0526316;0.111111;0.111111;0.222222;0.111111;0.0526316;0.111111;0.111111;0.111111;0.111111;0.190476;0.111111;0.0526316;0.1;0.111111;0.222222;0.111111;0.111111;0.0526316;0.0526316;0.0526316;0.0526316;0.111111
sélectionner;0.2;1;0.111111;0.111111;0.285714;0.333333;0.333333;0.285714;1;0.333333;0.0909091;0.5;0.111111;1;0.333333;0.2;0.111111;0.333333;0.111111;0.5;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.25;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.285714;1;0.333333;0.2;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
post;0.5;0.333333;0.111111;0.25;0.125;0.333333;0.333333;0.125;0.333333;1;0.0909091;0.2;0.0526316;0.333333;1;0.2;0.25;1;0.25;0.2;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.285714;0.333333;1;0.2;0.333333;0.2;0.333333;0.333333;1;0.333333;0.333333;1;0.333333
méthode get;0.333333;0.2;0.1;0.2;0.222222;0.2;0.5;0.222222;0.2;0.2;0.0833333;0.142857;0.1;0.2;0.2;1;0.0909091;0.2;0.2;0.142857;0.142857;0.142857;0.2;0.2;0.2;0.5;0.142857;0.142857;0.2;0.5;0.0909091;0.2;0.5;0.5;0.2;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2;0.1;0.2;0.2;0.333333;0.2;0.142857;0.5;0.2;0.2;0.5;0.5;0.2;0.2
code;0.2;0.111111;0.181818;0.333333;0.0714286;0.25;0.111111;0.0714286;0.111111;0.25;0.153846;0.2;0.181818;0.111111;0.25;0.0909091;1;0.25;0.142857;0.2;0.2;0.2;0.25;0.25;0.25;0.111111;0.5;0.2;0.111111;0.111111;0.142857;0.25;0.111111;0.111111;0.111111;0.111111;0.2;0.25;0.25;0.25;0.111111;0.25;0.25;0.153846;0.111111;0.25;0.0909091;0.25;0.5;0.111111;0.25;0.25;0.111111;0.111111;0.25;0.111111
utilisateur;0.5;0.333333;0.111111;0.25;0.125;0.333333;0.333333;0.125;0.333333;1;0.0909091;0.2;0.0526316;0.333333;1;0.2;0.25;1;0.25;0.2;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.285714;0.333333;1;0.2;0.333333;0.2;0.333333;0.333333;1;0.333333;0.333333;1;0.333333
afficher;0.2;0.111111;0.444444;0.333333;0.363636;0.111111;0.25;0.363636;0.111111;0.25;0.363636;0.0909091;0.181818;0.111111;0.25;0.2;0.142857;0.25;1;0.0909091;0.2;0.2;0.111111;0.111111;0.111111;0.111111;0.0909091;0.2;0.25;0.25;0.142857;0.111111;0.111111;0.111111;0.25;0.111111;0.2;0.111111;0.25;0.111111;0.111111;0.111111;0.111111;0.363636;0.111111;0.25;0.2;0.111111;0.0909091;0.25;0.111111;0.25;0.111111;0.111111;0.25;0.25
nécessaire;0.142857;0.5;0.1;0.2;0.222222;0.5;0.2;0.222222;0.5;0.2;0.181818;1;0.222222;0.5;0.2;0.142857;0.2;0.2;0.0909091;1;0.333333;0.333333;0.2;0.2;0.5;0.2;0.333333;0.333333;0.2;0.2;0.5;0.5;0.2;0.2;0.2;0.5;0.142857;0.5;0.2;0.5;0.5;0.2;0.5;0.222222;0.5;0.2;0.142857;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2
serveur;0.142857;0.2;0.1;0.2;0.222222;0.5;0.2;0.222222;0.2;0.2;0.181818;0.333333;0.222222;0.2;0.2;0.142857;0.2;0.2;0.2;0.333333;1;1;0.2;0.2;0.5;0.2;0.333333;1;0.5;0.2;0.5;0.5;0.2;0.2;0.5;0.2;0.142857;0.5;0.2;0.5;0.2;0.2;0.5;0.222222;0.2;0.2;0.333333;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2;0.5
fois;0.142857;0.2;0.1;0.2;0.222222;0.5;0.2;0.222222;0.2;0.2;0.181818;0.333333;0.222222;0.2;0.2;0.142857;0.2;0.2;0.2;0.333333;1;1;0.2;0.2;0.5;0.2;0.333333;1;0.5;0.2;0.5;0.5;0.2;0.2;0.5;0.2;0.142857;0.5;0.2;0.5;0.2;0.2;0.5;0.222222;0.2;0.2;0.333333;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2;0.5
programmation;0.2;0.333333;0.111111;0.111111;0.125;0.333333;0.333333;0.125;0.333333;0.333333;0.0434783;0.2;0.111111;0.333333;0.333333;0.2;0.25;0.333333;0.111111;0.2;0.2;0.2;1;1;0.333333;0.333333;0.5;0.2;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.125;0.333333;0.333333;0.2;1;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333
class;0.2;0.333333;0.111111;0.111111;0.125;0.333333;0.333333;0.125;0.333333;0.333333;0.0434783;0.2;0.111111;0.333333;0.333333;0.2;0.25;0.333333;0.111111;0.2;0.2;0.2;1;1;0.333333;0.333333;0.5;0.2;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.125;0.333333;0.333333;0.2;1;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333
commentaires;0.2;0.333333;0.0526316;0.25;0.125;1;0.333333;0.125;0.333333;0.333333;0.0909091;0.5;0.111111;0.333333;0.333333;0.2;0.25;0.333333;0.111111;0.5;0.5;0.5;0.333333;0.333333;1;0.333333;0.5;0.5;0.333333;0.333333;0.25;1;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;1;0.125;0.333333;0.333333;0.2;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
composer;0.5;0.333333;0.0526316;0.111111;0.125;0.333333;0.333333;0.125;0.333333;0.333333;0.0434783;0.2;0.0526316;0.333333;0.333333;0.5;0.111111;0.333333;0.111111;0.2;0.2;0.2;0.333333;0.333333;0.333333;1;0.2;0.2;0.333333;0.333333;0.111111;0.333333;1;1;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.333333;0.333333;1;1;0.333333;0.333333
chaîne;0.142857;0.2;0.1;0.2;0.1;0.5;0.2;0.1;0.2;0.2;0.0833333;0.333333;0.222222;0.2;0.2;0.142857;0.5;0.2;0.0909091;0.333333;0.333333;0.333333;0.5;0.5;0.5;0.2;1;0.333333;0.2;0.2;0.2;0.5;0.2;0.2;0.2;0.2;0.333333;0.5;0.2;0.5;0.2;0.5;0.5;0.1;0.2;0.2;0.142857;0.5;1;0.2;0.5;0.2;0.2;0.2;0.2;0.2
syntaxe;0.142857;0.2;0.1;0.2;0.222222;0.5;0.2;0.222222;0.2;0.2;0.181818;0.333333;0.222222;0.2;0.2;0.142857;0.2;0.2;0.2;0.333333;1;1;0.2;0.2;0.5;0.2;0.333333;1;0.5;0.2;0.5;0.5;0.2;0.2;0.5;0.2;0.142857;0.5;0.2;0.5;0.2;0.2;0.5;0.222222;0.2;0.2;0.333333;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2;0.5
personne;0.2;0.333333;0.111111;0.111111;0.285714;0.333333;0.333333;0.285714;0.333333;0.333333;0.0909091;0.2;0.111111;0.333333;0.333333;0.2;0.111111;0.333333;0.25;0.2;0.5;0.5;0.333333;0.333333;0.333333;0.333333;0.2;0.5;1;0.333333;0.25;0.333333;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.285714;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1
définition;0.2;0.333333;0.111111;0.25;0.285714;0.333333;1;0.285714;0.333333;0.333333;0.0909091;0.2;0.111111;0.333333;0.333333;0.5;0.111111;0.333333;0.25;0.2;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;1;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.2;0.333333;0.2;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
langage;0.0909091;0.25;0.181818;0.142857;0.363636;0.25;0.111111;0.363636;0.25;0.111111;0.363636;0.5;0.444444;0.25;0.111111;0.0909091;0.142857;0.111111;0.142857;0.5;0.5;0.5;0.111111;0.111111;0.25;0.111111;0.2;0.5;0.25;0.111111;1;0.25;0.111111;0.111111;0.25;0.25;0.0909091;0.25;0.111111;0.25;0.25;0.111111;0.25;0.363636;0.25;0.111111;0.2;0.111111;0.2;0.111111;0.111111;0.111111;0.111111;0.111111;0.111111;0.25
mode;0.2;0.333333;0.0526316;0.25;0.125;1;0.333333;0.125;0.333333;0.333333;0.0909091;0.5;0.111111;0.333333;0.333333;0.2;0.25;0.333333;0.111111;0.5;0.5;0.5;0.333333;0.333333;1;0.333333;0.5;0.5;0.333333;0.333333;0.25;1;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;1;0.125;0.333333;0.333333;0.2;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
configuration;0.5;0.333333;0.0526316;0.111111;0.125;0.333333;0.333333;0.125;0.333333;0.333333;0.0434783;0.2;0.0526316;0.333333;0.333333;0.5;0.111111;0.333333;0.111111;0.2;0.2;0.2;0.333333;0.333333;0.333333;1;0.2;0.2;0.333333;0.333333;0.111111;0.333333;1;1;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.333333;0.333333;1;1;0.333333;0.333333
xml;0.5;0.333333;0.0526316;0.111111;0.125;0.333333;0.333333;0.125;0.333333;0.333333;0.0434783;0.2;0.0526316;0.333333;0.333333;0.5;0.111111;0.333333;0.111111;0.2;0.2;0.2;0.333333;0.333333;0.333333;1;0.2;0.2;0.333333;0.333333;0.111111;0.333333;1;1;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.333333;0.333333;1;1;0.333333;0.333333
postgresql;0.2;0.333333;0.111111;0.111111;0.285714;0.333333;0.333333;0.285714;0.333333;0.333333;0.0909091;0.2;0.111111;0.333333;0.333333;0.2;0.111111;0.333333;0.25;0.2;0.5;0.5;0.333333;0.333333;0.333333;0.333333;0.2;0.5;1;0.333333;0.25;0.333333;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.285714;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1
web;0.2;1;0.111111;0.111111;0.285714;0.333333;0.333333;0.285714;1;0.333333;0.0909091;0.5;0.111111;1;0.333333;0.2;0.111111;0.333333;0.111111;0.5;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.25;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.285714;1;0.333333;0.2;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
méthode;0.142857;0.2;0.222222;0.2;0.222222;0.2;0.5;0.222222;0.2;0.2;0.0833333;0.142857;0.222222;0.2;0.2;0.333333;0.2;0.2;0.2;0.142857;0.142857;0.142857;0.5;0.5;0.2;0.2;0.333333;0.142857;0.2;0.5;0.0909091;0.2;0.2;0.2;0.2;0.2;1;0.2;0.2;0.2;0.2;0.5;0.2;0.1;0.2;0.2;0.142857;0.5;0.333333;0.5;0.5;0.2;0.2;0.2;0.2;0.2
bits;0.2;0.333333;0.0526316;0.25;0.125;1;0.333333;0.125;0.333333;0.333333;0.0909091;0.5;0.111111;0.333333;0.333333;0.2;0.25;0.333333;0.111111;0.5;0.5;0.5;0.333333;0.333333;1;0.333333;0.5;0.5;0.333333;0.333333;0.25;1;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;1;0.125;0.333333;0.333333;0.2;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
foreach;0.5;0.333333;0.111111;0.25;0.125;0.333333;0.333333;0.125;0.333333;1;0.0909091;0.2;0.0526316;0.333333;1;0.2;0.25;1;0.25;0.2;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.285714;0.333333;1;0.2;0.333333;0.2;0.333333;0.333333;1;0.333333;0.333333;1;0.333333
pouvoir;0.2;0.333333;0.0526316;0.25;0.125;1;0.333333;0.125;0.333333;0.333333;0.0909091;0.5;0.111111;0.333333;0.333333;0.2;0.25;0.333333;0.111111;0.5;0.5;0.5;0.333333;0.333333;1;0.333333;0.5;0.5;0.333333;0.333333;0.25;1;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;1;0.125;0.333333;0.333333;0.2;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
information;0.2;1;0.111111;0.111111;0.285714;0.333333;0.333333;0.285714;1;0.333333;0.0909091;0.5;0.111111;1;0.333333;0.2;0.111111;0.333333;0.111111;0.5;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.25;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.285714;1;0.333333;0.2;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
timestamp;0.2;0.333333;0.111111;0.111111;0.125;0.333333;0.333333;0.125;0.333333;0.333333;0.0434783;0.2;0.111111;0.333333;0.333333;0.2;0.25;0.333333;0.111111;0.2;0.2;0.2;1;1;0.333333;0.333333;0.5;0.2;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.125;0.333333;0.333333;0.2;1;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333
easyphp;0.2;0.333333;0.0526316;0.25;0.125;1;0.333333;0.125;0.333333;0.333333;0.0909091;0.5;0.111111;0.333333;0.333333;0.2;0.25;0.333333;0.111111;0.5;0.5;0.5;0.333333;0.333333;1;0.333333;0.5;0.5;0.333333;0.333333;0.25;1;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;1;0.125;0.333333;0.333333;0.2;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
pouvoir;0.222222;0.285714;0.388889;0.153846;0.4;0.125;0.125;0.4;0.285714;0.285714;0.318182;0.222222;0.190476;0.285714;0.285714;0.1;0.153846;0.285714;0.363636;0.222222;0.222222;0.222222;0.125;0.125;0.125;0.125;0.1;0.222222;0.285714;0.125;0.363636;0.125;0.125;0.125;0.285714;0.285714;0.1;0.125;0.285714;0.125;0.285714;0.125;0.125;1;0.285714;0.285714;0.222222;0.125;0.1;0.125;0.125;0.285714;0.125;0.125;0.285714;0.285714
impossible;0.2;1;0.111111;0.111111;0.285714;0.333333;0.333333;0.285714;1;0.333333;0.0909091;0.5;0.111111;1;0.333333;0.2;0.111111;0.333333;0.111111;0.5;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.25;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.285714;1;0.333333;0.2;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
en-tête;0.5;0.333333;0.111111;0.25;0.125;0.333333;0.333333;0.125;0.333333;1;0.0909091;0.2;0.0526316;0.333333;1;0.2;0.25;1;0.25;0.2;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.285714;0.333333;1;0.2;0.333333;0.2;0.333333;0.333333;1;0.333333;0.333333;1;0.333333
client;0.333333;0.2;0.1;0.0909091;0.222222;0.2;0.2;0.222222;0.2;0.2;0.0833333;0.142857;0.1;0.2;0.2;0.333333;0.0909091;0.2;0.2;0.142857;0.333333;0.333333;0.2;0.2;0.2;0.5;0.142857;0.333333;0.5;0.2;0.2;0.2;0.5;0.5;0.5;0.2;0.142857;0.2;0.2;0.2;0.2;0.2;0.2;0.222222;0.2;0.2;1;0.2;0.142857;0.2;0.2;0.2;0.5;0.5;0.2;0.5
file;0.2;0.333333;0.111111;0.111111;0.125;0.333333;0.333333;0.125;0.333333;0.333333;0.0434783;0.2;0.111111;0.333333;0.333333;0.2;0.25;0.333333;0.111111;0.2;0.2;0.2;1;1;0.333333;0.333333;0.5;0.2;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.125;0.333333;0.333333;0.2;1;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333
echo;0.142857;0.2;0.1;0.2;0.1;0.5;0.2;0.1;0.2;0.2;0.0833333;0.333333;0.222222;0.2;0.2;0.142857;0.5;0.2;0.0909091;0.333333;0.333333;0.333333;0.5;0.5;0.5;0.2;1;0.333333;0.2;0.2;0.2;0.5;0.2;0.2;0.2;0.2;0.333333;0.5;0.2;0.5;0.2;0.5;0.5;0.1;0.2;0.2;0.142857;0.5;1;0.2;0.5;0.2;0.2;0.2;0.2;0.2
rue;0.2;0.333333;0.111111;0.25;0.285714;0.333333;1;0.285714;0.333333;0.333333;0.0909091;0.2;0.111111;0.333333;0.333333;0.5;0.111111;0.333333;0.25;0.2;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;1;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.2;0.333333;0.2;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
exception;0.2;0.333333;0.111111;0.111111;0.125;0.333333;0.333333;0.125;0.333333;0.333333;0.0434783;0.2;0.111111;0.333333;0.333333;0.2;0.25;0.333333;0.111111;0.2;0.2;0.2;1;1;0.333333;0.333333;0.5;0.2;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.125;0.333333;0.333333;0.2;1;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333
wamp;0.5;0.333333;0.111111;0.25;0.125;0.333333;0.333333;0.125;0.333333;1;0.0909091;0.2;0.0526316;0.333333;1;0.2;0.25;1;0.25;0.2;0.2;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.285714;0.333333;1;0.2;0.333333;0.2;0.333333;0.333333;1;0.333333;0.333333;1;0.333333
symfony;0.5;0.333333;0.0526316;0.111111;0.125;0.333333;0.333333;0.125;0.333333;0.333333;0.0434783;0.2;0.0526316;0.333333;0.333333;0.5;0.111111;0.333333;0.111111;0.2;0.2;0.2;0.333333;0.333333;0.333333;1;0.2;0.2;0.333333;0.333333;0.111111;0.333333;1;1;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.333333;0.333333;1;1;0.333333;0.333333
