X ; page web bn:00080778n ; navigateur bn:00013447n ; serveur web bn:02705179n ; fichier bn:00021475n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; code bn:00020354n ; texte bn:00076732n ; concerner bn:00083240v ; commentaire bn:00020978n ; délimiter bn:00086464v ; fois bn:00032768n ; url bn:00079080n ; case à cocher bn:03157691n ; post bn:01500184n ; text bn:14981519n ; langage bn:00049910n ; utilisateur bn:00079373n ; case bn:04777941n ; associer bn:00082868v ; personne bn:00046516n ; méthode post bn:00045088n ; fermeture bn:16858148n ; machine bn:00054050n ; mysql bn:01225760n ; jour bn:00000086n ; programmation bn:00021493n ; site bn:00047172n ; langage de script bn:01431715n ; interpréter bn:00089840v ; côté serveur bn:03816678n ; serveur bn:00044916n ; côté client bn:03163702n ; typage bn:00016413n ; foreach bn:03463379n ; list bn:04720346n ; méthode bn:01641329n ; cle bn:04756252n ; mot bn:00081546n ; timestamp bn:03603649n ; session bn:03751534n ; chaîne bn:00074685n ; classe bn:03608262n ; moteur bn:00030850n ; xml bn:02771436n ; entête bn:00043309n ; files bn:00065682n ; class bn:03598962n ; affiche bn:00087013v ; configuration bn:03088982n ; insert bn:03795444n ; varchar bn:01838409n ; transaction bn:01403911n ; visiteur bn:03106425n ; composer bn:14766022n ; doctype bn:15839327n ; mysqli bn:01438356n ; null bn:15898583n ; avoir accès bn:00082209v
commentaire bn:00020978n ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.5 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 1 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
délimiter bn:00086464v ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.2 ; 0.111111 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.5 ; 1 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.142857 ; 0.2 ; 0.5 ; 0.2 ; 0.5 ; 0.333333 ; 0.142857 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.142857 ; 0.142857 ; 0.5 ; 0.5 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2
fois bn:00032768n ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333
url bn:00079080n ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.2 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1
case à cocher bn:03157691n ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.5 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 1 ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
post bn:01500184n ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333
text bn:14981519n ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.666667 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 1 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.142857 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2
langage bn:00049910n ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.2 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1
utilisateur bn:00079373n ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 1 ; 0.5 ; 0.2 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
case bn:04777941n ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.2 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1
associer bn:00082868v ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 1 ; 0.5 ; 0.2 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
personne bn:00046516n ; 0.5 ; 0.5 ; 0.5 ; 0.2 ; 0.5 ; 0.25 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.5 ; 0.2 ; 0.5 ; 1 ; 0.142857 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.142857 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.2
méthode post bn:00045088n ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.111111 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 1 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2
fermeture bn:16858148n ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.2 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.5 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1
machine bn:00054050n ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 1 ; 0.5 ; 0.2 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
mysql bn:01225760n ; 1 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 1 ; 0.333333 ; 1 ; 0.5 ; 0.2 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333
jour bn:00000086n ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 0.5 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.5 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 1 ; 0.333333 ; 0.333333
