X;php;mysql;texte;fichier;données;types;session;base de donnees;entités;site;client web;langage de script;nombre;sélectionner;post;méthode get;code;utilisateur;afficher;nécessaire;serveur;fois;programmation;class;commentaires;composer;chaîne;syntaxe;définition;langage;mode;configuration;xml;postgresql;web;méthode;bits;foreach;pouvoir;information;timestamp;easyphp;pouvoir;impossible;en-tête;client;file;echo;rue;exception;wamp;symfony;doctype;realisateur
langage de script;0.0714286;0.5;0.0869565;0.117647;0.2;0.5;0.2;0.2;0.5;0.2;0.266667;1;0.181818;0.5;0.142857;0.142857;0.2;0.2;0.0909091;1;0.5;0.333333;0.2;0.2;0.5;0.2;0.2;0.5;0.2;0.5;0.5;0.2;0.2;0.2;0.5;0.142857;0.5;0.2;0.5;0.5;0.2;0.5;0.333333;0.5;0.2;0.2;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2
nombre;0.137931;0.0909091;0.387097;0.275862;0.363636;0.0909091;0.0909091;0.363636;0.0909091;0.0434783;0.275862;0.181818;1;0.0909091;0.0833333;0.0833333;0.153846;0.0434783;0.153846;0.181818;0.0909091;0.181818;0.0909091;0.0909091;0.0909091;0.0434783;0.363636;0.0909091;0.0909091;0.363636;0.0909091;0.0434783;0.0434783;0.0909091;0.0909091;0.181818;0.0909091;0.0434783;0.0909091;0.0909091;0.0909091;0.0909091;0.0833333;0.0909091;0.0434783;0.0434783;0.0909091;0.181818;0.0909091;0.0909091;0.0434783;0.0434783;0.0434783;0.0434783
sélectionner;0.0833333;1;0.0952381;0.0625;0.25;0.333333;0.333333;0.25;1;0.333333;0.133333;0.5;0.0909091;1;0.2;0.2;0.111111;0.333333;0.111111;0.5;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.111111;0.333333;0.333333;0.25;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.5;1;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
post;0.153846;0.2;0.190476;0.266667;0.2;0.2;0.2;0.2;0.2;0.5;0.117647;0.142857;0.0833333;0.2;1;0.142857;0.2;0.5;0.5;0.142857;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.5;0.2;0.142857;0.2;0.5;0.2;0.2;0.2;0.2;0.333333;0.2;0.5;0.2;0.2;0.142857;0.2;0.2;0.5;0.2;0.2;0.5
méthode get;0.363636;0.2;0.0869565;0.117647;0.2;0.2;0.5;0.2;0.2;0.2;0.117647;0.142857;0.0833333;0.2;0.142857;1;0.0909091;0.2;0.2;0.142857;0.2;0.142857;0.2;0.2;0.2;0.5;0.0909091;0.2;0.5;0.0909091;0.2;0.5;0.5;0.2;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2;0.142857;0.2;0.2;0.5;0.2;0.142857;0.5;0.2;0.2;0.5;0.5;0.2
code;0.266667;0.111111;0.16;0.210526;0.0666667;0.25;0.111111;0.0666667;0.111111;0.25;0.210526;0.2;0.153846;0.111111;0.2;0.0909091;1;0.25;0.142857;0.2;0.25;0.2;0.25;0.25;0.25;0.111111;0.333333;0.25;0.111111;0.142857;0.25;0.111111;0.111111;0.111111;0.111111;0.2;0.25;0.25;0.25;0.111111;0.25;0.25;0.2;0.111111;0.25;0.111111;0.25;0.5;0.111111;0.25;0.25;0.111111;0.111111;0.25
utilisateur;0.181818;0.333333;0.0952381;0.133333;0.111111;0.333333;0.333333;0.111111;0.333333;1;0.133333;0.2;0.0434783;0.333333;0.5;0.2;0.25;1;0.25;0.2;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.111111;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;1;0.333333;0.333333;0.2;0.333333;0.333333;1;0.333333;0.333333;1
afficher;0.266667;0.111111;0.380952;0.533333;0.333333;0.111111;0.25;0.333333;0.111111;0.25;0.210526;0.0909091;0.153846;0.111111;0.5;0.2;0.142857;0.25;1;0.0909091;0.111111;0.2;0.111111;0.111111;0.111111;0.111111;0.142857;0.111111;0.25;0.142857;0.111111;0.111111;0.111111;0.25;0.111111;0.2;0.111111;0.25;0.111111;0.111111;0.111111;0.111111;0.2;0.111111;0.25;0.111111;0.111111;0.0909091;0.25;0.111111;0.25;0.111111;0.111111;0.25
nécessaire;0.0714286;0.5;0.0869565;0.117647;0.2;0.5;0.2;0.2;0.5;0.2;0.266667;1;0.181818;0.5;0.142857;0.142857;0.2;0.2;0.0909091;1;0.5;0.333333;0.2;0.2;0.5;0.2;0.2;0.5;0.2;0.5;0.5;0.2;0.2;0.2;0.5;0.142857;0.5;0.2;0.5;0.5;0.2;0.5;0.333333;0.5;0.2;0.2;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2
serveur;0.0833333;0.333333;0.0454545;0.133333;0.111111;1;0.333333;0.111111;0.333333;0.333333;0.133333;0.5;0.0909091;0.333333;0.2;0.2;0.25;0.333333;0.111111;0.5;1;0.5;0.333333;0.333333;1;0.333333;0.25;1;0.333333;0.25;1;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
fois;0.0714286;0.2;0.0869565;0.266667;0.2;0.5;0.2;0.2;0.2;0.2;0.117647;0.333333;0.181818;0.2;0.333333;0.142857;0.2;0.2;0.2;0.333333;0.5;1;0.2;0.2;0.5;0.2;0.5;0.5;0.2;0.5;0.5;0.2;0.2;0.5;0.2;0.142857;0.5;0.2;0.5;0.2;0.2;0.5;0.142857;0.2;0.2;0.2;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2
programmation;0.181818;0.333333;0.0952381;0.0625;0.111111;0.333333;0.333333;0.111111;0.333333;0.333333;0.0625;0.2;0.0909091;0.333333;0.2;0.2;0.25;0.333333;0.111111;0.2;0.333333;0.2;1;1;0.333333;0.333333;0.25;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.333333;1;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333
class;0.181818;0.333333;0.0952381;0.0625;0.111111;0.333333;0.333333;0.111111;0.333333;0.333333;0.0625;0.2;0.0909091;0.333333;0.2;0.2;0.25;0.333333;0.111111;0.2;0.333333;0.2;1;1;0.333333;0.333333;0.25;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.333333;1;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333
commentaires;0.0833333;0.333333;0.0454545;0.133333;0.111111;1;0.333333;0.111111;0.333333;0.333333;0.133333;0.5;0.0909091;0.333333;0.2;0.2;0.25;0.333333;0.111111;0.5;1;0.5;0.333333;0.333333;1;0.333333;0.25;1;0.333333;0.25;1;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
composer;0.181818;0.333333;0.0454545;0.0625;0.111111;0.333333;0.333333;0.111111;0.333333;0.333333;0.0625;0.2;0.0434783;0.333333;0.2;0.5;0.111111;0.333333;0.111111;0.2;0.333333;0.2;0.333333;0.333333;0.333333;1;0.111111;0.333333;0.333333;0.111111;0.333333;1;1;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.333333;1;1;0.333333
chaîne;0.117647;0.111111;0.16;0.210526;0.142857;0.25;0.111111;0.142857;0.111111;0.111111;0.0952381;0.2;0.363636;0.111111;0.2;0.0909091;0.333333;0.111111;0.142857;0.2;0.25;0.5;0.25;0.25;0.25;0.111111;1;0.25;0.111111;0.333333;0.25;0.111111;0.111111;0.25;0.111111;0.2;0.25;0.111111;0.25;0.111111;0.25;0.25;0.0909091;0.111111;0.111111;0.111111;0.25;0.5;0.111111;0.25;0.111111;0.111111;0.111111;0.111111
syntaxe;0.0833333;0.333333;0.0454545;0.133333;0.111111;1;0.333333;0.111111;0.333333;0.333333;0.133333;0.5;0.0909091;0.333333;0.2;0.2;0.25;0.333333;0.111111;0.5;1;0.5;0.333333;0.333333;1;0.333333;0.25;1;0.333333;0.25;1;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
définition;0.181818;0.333333;0.0952381;0.133333;0.25;0.333333;1;0.25;0.333333;0.333333;0.133333;0.2;0.0909091;0.333333;0.2;0.5;0.111111;0.333333;0.25;0.2;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.111111;0.333333;1;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;0.333333;0.333333;0.333333;0.333333
langage;0.0555556;0.25;0.16;0.210526;0.333333;0.25;0.111111;0.333333;0.25;0.111111;0.210526;0.5;0.363636;0.25;0.2;0.0909091;0.142857;0.111111;0.142857;0.5;0.25;0.5;0.111111;0.111111;0.25;0.111111;0.333333;0.25;0.111111;1;0.25;0.111111;0.111111;0.25;0.25;0.0909091;0.25;0.111111;0.25;0.25;0.111111;0.25;0.2;0.25;0.111111;0.111111;0.111111;0.2;0.111111;0.111111;0.111111;0.111111;0.111111;0.111111
mode;0.0833333;0.333333;0.0454545;0.133333;0.111111;1;0.333333;0.111111;0.333333;0.333333;0.133333;0.5;0.0909091;0.333333;0.2;0.2;0.25;0.333333;0.111111;0.5;1;0.5;0.333333;0.333333;1;0.333333;0.25;1;0.333333;0.25;1;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
configuration;0.181818;0.333333;0.0454545;0.0625;0.111111;0.333333;0.333333;0.111111;0.333333;0.333333;0.0625;0.2;0.0434783;0.333333;0.2;0.5;0.111111;0.333333;0.111111;0.2;0.333333;0.2;0.333333;0.333333;0.333333;1;0.111111;0.333333;0.333333;0.111111;0.333333;1;1;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.333333;1;1;0.333333
xml;0.181818;0.333333;0.0454545;0.0625;0.111111;0.333333;0.333333;0.111111;0.333333;0.333333;0.0625;0.2;0.0434783;0.333333;0.2;0.5;0.111111;0.333333;0.111111;0.2;0.333333;0.2;0.333333;0.333333;0.333333;1;0.111111;0.333333;0.333333;0.111111;0.333333;1;1;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.333333;1;1;0.333333
postgresql;0.0833333;0.333333;0.0952381;0.133333;0.25;0.333333;0.333333;0.25;0.333333;0.333333;0.0625;0.2;0.0909091;0.333333;0.5;0.2;0.111111;0.333333;0.25;0.2;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.25;0.333333;0.333333;0.25;0.333333;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
web;0.0833333;1;0.0952381;0.0625;0.25;0.333333;0.333333;0.25;1;0.333333;0.133333;0.5;0.0909091;1;0.2;0.2;0.111111;0.333333;0.111111;0.5;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.111111;0.333333;0.333333;0.25;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.5;1;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
méthode;0.363636;0.2;0.190476;0.117647;0.2;0.2;0.5;0.2;0.2;0.2;0.117647;0.142857;0.181818;0.2;0.142857;0.333333;0.2;0.2;0.2;0.142857;0.2;0.142857;0.5;0.5;0.2;0.2;0.2;0.2;0.5;0.0909091;0.2;0.2;0.2;0.2;0.2;1;0.2;0.2;0.2;0.2;0.5;0.2;0.142857;0.2;0.2;0.2;0.5;0.333333;0.5;0.5;0.2;0.2;0.2;0.2
bits;0.0833333;0.333333;0.0454545;0.133333;0.111111;1;0.333333;0.111111;0.333333;0.333333;0.133333;0.5;0.0909091;0.333333;0.2;0.2;0.25;0.333333;0.111111;0.5;1;0.5;0.333333;0.333333;1;0.333333;0.25;1;0.333333;0.25;1;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
foreach;0.181818;0.333333;0.0952381;0.133333;0.111111;0.333333;0.333333;0.111111;0.333333;1;0.133333;0.2;0.0434783;0.333333;0.5;0.2;0.25;1;0.25;0.2;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.111111;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;1;0.333333;0.333333;0.2;0.333333;0.333333;1;0.333333;0.333333;1
pouvoir;0.0833333;0.333333;0.0454545;0.133333;0.111111;1;0.333333;0.111111;0.333333;0.333333;0.133333;0.5;0.0909091;0.333333;0.2;0.2;0.25;0.333333;0.111111;0.5;1;0.5;0.333333;0.333333;1;0.333333;0.25;1;0.333333;0.25;1;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
information;0.0833333;1;0.0952381;0.0625;0.25;0.333333;0.333333;0.25;1;0.333333;0.133333;0.5;0.0909091;1;0.2;0.2;0.111111;0.333333;0.111111;0.5;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.111111;0.333333;0.333333;0.25;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.5;1;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
timestamp;0.181818;0.333333;0.0952381;0.0625;0.111111;0.333333;0.333333;0.111111;0.333333;0.333333;0.0625;0.2;0.0909091;0.333333;0.2;0.2;0.25;0.333333;0.111111;0.2;0.333333;0.2;1;1;0.333333;0.333333;0.25;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.333333;1;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333
easyphp;0.0833333;0.333333;0.0454545;0.133333;0.111111;1;0.333333;0.111111;0.333333;0.333333;0.133333;0.5;0.0909091;0.333333;0.2;0.2;0.25;0.333333;0.111111;0.5;1;0.5;0.333333;0.333333;1;0.333333;0.25;1;0.333333;0.25;1;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;1;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
pouvoir;0.153846;0.5;0.190476;0.117647;0.2;0.2;0.2;0.2;0.5;0.5;0.266667;0.333333;0.0833333;0.5;0.333333;0.142857;0.2;0.5;0.2;0.333333;0.2;0.142857;0.2;0.2;0.2;0.2;0.0909091;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.5;0.142857;0.2;0.5;0.2;0.5;0.2;0.2;1;0.5;0.5;0.2;0.2;0.142857;0.2;0.2;0.5;0.2;0.2;0.5
impossible;0.0833333;1;0.0952381;0.0625;0.25;0.333333;0.333333;0.25;1;0.333333;0.133333;0.5;0.0909091;1;0.2;0.2;0.111111;0.333333;0.111111;0.5;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.111111;0.333333;0.333333;0.25;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.5;1;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
en-tête;0.181818;0.333333;0.0952381;0.133333;0.111111;0.333333;0.333333;0.111111;0.333333;1;0.133333;0.2;0.0434783;0.333333;0.5;0.2;0.25;1;0.25;0.2;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.111111;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;1;0.333333;0.333333;0.2;0.333333;0.333333;1;0.333333;0.333333;1
client;0.181818;0.333333;0.0454545;0.0625;0.111111;0.333333;0.333333;0.111111;0.333333;0.333333;0.0625;0.2;0.0434783;0.333333;0.2;0.5;0.111111;0.333333;0.111111;0.2;0.333333;0.2;0.333333;0.333333;0.333333;1;0.111111;0.333333;0.333333;0.111111;0.333333;1;1;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.333333;1;1;0.333333
file;0.181818;0.333333;0.0952381;0.0625;0.111111;0.333333;0.333333;0.111111;0.333333;0.333333;0.0625;0.2;0.0909091;0.333333;0.2;0.2;0.25;0.333333;0.111111;0.2;0.333333;0.2;1;1;0.333333;0.333333;0.25;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.333333;1;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333
echo;0.153846;0.2;0.0869565;0.117647;0.0909091;0.5;0.2;0.0909091;0.2;0.2;0.117647;0.333333;0.181818;0.2;0.142857;0.142857;0.5;0.2;0.0909091;0.333333;0.5;0.333333;0.5;0.5;0.5;0.2;0.5;0.5;0.2;0.2;0.5;0.2;0.2;0.2;0.2;0.333333;0.5;0.2;0.5;0.2;0.5;0.5;0.142857;0.2;0.2;0.2;0.5;1;0.2;0.5;0.2;0.2;0.2;0.2
rue;0.181818;0.333333;0.0952381;0.133333;0.25;0.333333;1;0.25;0.333333;0.333333;0.133333;0.2;0.0909091;0.333333;0.2;0.5;0.111111;0.333333;0.25;0.2;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.111111;0.333333;1;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;0.333333;0.333333;0.333333;0.333333
exception;0.181818;0.333333;0.0952381;0.0625;0.111111;0.333333;0.333333;0.111111;0.333333;0.333333;0.0625;0.2;0.0909091;0.333333;0.2;0.2;0.25;0.333333;0.111111;0.2;0.333333;0.2;1;1;0.333333;0.333333;0.25;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.333333;1;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333
wamp;0.181818;0.333333;0.0952381;0.133333;0.111111;0.333333;0.333333;0.111111;0.333333;1;0.133333;0.2;0.0434783;0.333333;0.5;0.2;0.25;1;0.25;0.2;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.111111;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;1;0.333333;0.333333;0.2;0.333333;0.333333;1;0.333333;0.333333;1
symfony;0.181818;0.333333;0.0454545;0.0625;0.111111;0.333333;0.333333;0.111111;0.333333;0.333333;0.0625;0.2;0.0434783;0.333333;0.2;0.5;0.111111;0.333333;0.111111;0.2;0.333333;0.2;0.333333;0.333333;0.333333;1;0.111111;0.333333;0.333333;0.111111;0.333333;1;1;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.333333;1;1;0.333333
doctype;0.181818;0.333333;0.0454545;0.0625;0.111111;0.333333;0.333333;0.111111;0.333333;0.333333;0.0625;0.2;0.0434783;0.333333;0.2;0.5;0.111111;0.333333;0.111111;0.2;0.333333;0.2;0.333333;0.333333;0.333333;1;0.111111;0.333333;0.333333;0.111111;0.333333;1;1;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.333333;1;1;0.333333
realisateur;0.181818;0.333333;0.0952381;0.133333;0.111111;0.333333;0.333333;0.111111;0.333333;1;0.133333;0.2;0.0434783;0.333333;0.5;0.2;0.25;1;0.25;0.2;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.111111;0.333333;0.333333;0.111111;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;1;0.333333;0.333333;0.2;0.333333;0.333333;1;0.333333;0.333333;1
