X;php;mysql;texte;fichier;données;types;session;base de donnees;entités;site;client web;langage de script;nombre;sélectionner;post;méthode get;code;utilisateur;afficher;nécessaire;serveur;fois;programmation;class;commentaires;composer;chaîne;syntaxe;hiérarchie;définition;langage;mise;mode;configuration;xml;postgresql;web;méthode;bits;foreach;pouvoir;information;timestamp;easyphp;pouvoir;impossible;public;en-tête;client;java;file;echo;rue;void;classe;exception;wamp;symfony;doctype;environnement de développement;realisateur
client web;0.1;0.222222;0.222222;0.222222;0.333333;0.222222;0.222222;0.181818;0.222222;0.222222;1;0.444444;0.1;0.222222;0.181818;0.1;0.222222;0.222222;0.222222;0.444444;0.222222;0.181818;0.1;0.0833333;0.181818;0.1;0.142857;0.222222;0.1;0.222222;0.181818;0.1;0.222222;0.1;0.1;0.1;0.222222;0.1;0.222222;0.222222;0.222222;0.222222;0.1;0.222222;0.444444;0.222222;0.1;0.222222;0.1;0.1;0.1;0.181818;0.222222;0.1;0.1;0.1;0.222222;0.1;0.1;0.222222;0.222222
langage de script;0.2;0.5;0.5;0.2;0.222222;0.5;0.2;0.333333;0.5;0.2;0.444444;1;0.2;0.5;0.142857;0.2;0.2;0.2;0.2;1;0.5;0.333333;0.2;0.142857;0.333333;0.2;0.222222;0.5;0.2;0.2;0.333333;0.2;0.5;0.2;0.2;0.2;0.5;0.2;0.5;0.2;0.5;0.5;0.2;0.5;0.333333;0.5;0.2;0.2;0.2;0.2;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
nombre;0.333333;0.333333;0.333333;0.333333;0.285714;0.333333;0.333333;0.5;0.333333;0.333333;0.1;0.2;1;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.5;0.333333;0.2;0.2;0.333333;0.285714;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
sélectionner;0.333333;1;1;0.333333;0.285714;0.333333;0.333333;0.5;1;0.333333;0.222222;0.5;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.125;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.5;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
post;0.2;0.2;0.2;0.5;0.222222;0.2;0.2;0.333333;0.2;0.5;0.181818;0.142857;0.5;0.2;1;0.2;0.5;0.5;0.5;0.142857;0.2;0.333333;0.2;0.142857;0.142857;0.2;0.222222;0.2;0.2;0.2;0.333333;0.2;0.2;0.2;0.2;0.5;0.2;0.2;0.2;0.5;0.2;0.2;0.2;0.2;0.333333;0.2;0.2;0.5;0.2;0.2;0.2;0.142857;0.2;0.2;0.2;0.2;0.5;0.2;0.2;0.5;0.5
méthode get;1;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.2;0.333333;0.333333;0.1;0.2;0.333333;0.333333;0.2;1;0.333333;0.333333;0.333333;0.2;0.333333;0.2;0.333333;0.2;0.2;1;0.125;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;1;1;0.333333;0.333333
code;0.333333;0.333333;0.333333;1;0.125;0.333333;0.333333;0.2;0.333333;1;0.222222;0.2;0.333333;0.333333;0.5;0.333333;1;1;1;0.2;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.125;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;1;1
utilisateur;0.333333;0.333333;0.333333;1;0.125;0.333333;0.333333;0.2;0.333333;1;0.222222;0.2;0.333333;0.333333;0.5;0.333333;1;1;1;0.2;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.125;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;1;1
afficher;0.333333;0.333333;0.333333;1;0.125;0.333333;0.333333;0.2;0.333333;1;0.222222;0.2;0.333333;0.333333;0.5;0.333333;1;1;1;0.2;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.125;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;1;1
nécessaire;0.2;0.5;0.5;0.2;0.222222;0.5;0.2;0.333333;0.5;0.2;0.444444;1;0.2;0.5;0.142857;0.2;0.2;0.2;0.2;1;0.5;0.333333;0.2;0.142857;0.333333;0.2;0.222222;0.5;0.2;0.2;0.333333;0.2;0.5;0.2;0.2;0.2;0.5;0.2;0.5;0.2;0.5;0.5;0.2;0.5;0.333333;0.5;0.2;0.2;0.2;0.2;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
serveur;0.333333;0.333333;0.333333;0.333333;0.125;1;0.333333;0.2;0.333333;0.333333;0.222222;0.5;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.5;1;0.5;0.333333;0.2;0.5;0.333333;0.285714;1;0.333333;0.333333;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;1;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
fois;0.2;0.2;0.2;0.2;0.222222;0.5;0.2;0.333333;0.2;0.2;0.181818;0.333333;0.5;0.2;0.333333;0.2;0.2;0.2;0.2;0.333333;0.5;1;0.2;0.142857;0.333333;0.2;0.571429;0.5;0.2;0.2;1;0.2;0.5;0.2;0.2;0.5;0.2;0.2;0.5;0.2;0.5;0.2;0.2;0.5;0.142857;0.2;0.2;0.2;0.2;0.2;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
programmation;0.333333;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.2;0.333333;0.333333;0.1;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.2;1;0.5;0.2;0.333333;0.285714;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.5;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333
class;0.2;0.2;0.2;0.2;0.1;0.2;0.2;0.142857;0.2;0.2;0.0833333;0.142857;0.2;0.2;0.142857;0.2;0.2;0.2;0.2;0.142857;0.2;0.142857;0.5;1;0.333333;0.2;0.222222;0.2;0.5;0.2;0.142857;0.5;0.2;0.2;0.2;0.2;0.2;0.5;0.2;0.2;0.2;0.2;0.5;0.2;0.142857;0.2;0.5;0.2;0.2;0.5;0.5;0.333333;0.2;0.5;0.5;0.5;0.2;0.2;0.2;0.2;0.2
commentaires;0.2;0.2;0.2;0.2;0.1;0.5;0.2;0.142857;0.2;0.2;0.181818;0.333333;0.2;0.2;0.142857;0.2;0.2;0.2;0.2;0.333333;0.5;0.333333;0.2;0.333333;1;0.2;0.222222;0.5;0.5;0.2;0.333333;0.5;0.5;0.2;0.2;0.2;0.2;0.5;0.5;0.2;0.5;0.2;0.2;0.5;0.142857;0.2;0.5;0.2;0.2;0.5;0.2;0.333333;0.2;0.5;0.5;0.2;0.2;0.2;0.2;0.2;0.2
composer;1;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.2;0.333333;0.333333;0.1;0.2;0.333333;0.333333;0.2;1;0.333333;0.333333;0.333333;0.2;0.333333;0.2;0.333333;0.2;0.2;1;0.125;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;1;1;0.333333;0.333333
chaîne;0.125;0.125;0.125;0.125;0.166667;0.285714;0.125;0.222222;0.125;0.125;0.142857;0.222222;0.285714;0.125;0.222222;0.125;0.125;0.125;0.125;0.222222;0.285714;0.571429;0.285714;0.222222;0.222222;0.125;1;0.285714;0.125;0.125;0.571429;0.125;0.285714;0.125;0.125;0.285714;0.125;0.125;0.285714;0.125;0.285714;0.125;0.285714;0.285714;0.1;0.125;0.125;0.125;0.125;0.125;0.285714;0.571429;0.125;0.125;0.125;0.285714;0.125;0.125;0.125;0.125;0.125
syntaxe;0.333333;0.333333;0.333333;0.333333;0.125;1;0.333333;0.2;0.333333;0.333333;0.222222;0.5;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.5;1;0.5;0.333333;0.2;0.5;0.333333;0.285714;1;0.333333;0.333333;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;1;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
hiérarchie;0.333333;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.2;0.333333;0.333333;0.1;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.2;0.333333;0.5;0.5;0.333333;0.125;0.333333;1;0.333333;0.2;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;1;0.333333;0.333333;1;0.333333;0.2;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
définition;0.333333;0.333333;0.333333;0.333333;0.285714;0.333333;1;0.2;0.333333;0.333333;0.222222;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.125;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
langage;0.2;0.2;0.2;0.2;0.222222;0.5;0.2;0.333333;0.2;0.2;0.181818;0.333333;0.5;0.2;0.333333;0.2;0.2;0.2;0.2;0.333333;0.5;1;0.2;0.142857;0.333333;0.2;0.571429;0.5;0.2;0.2;1;0.2;0.5;0.2;0.2;0.5;0.2;0.2;0.5;0.2;0.5;0.2;0.2;0.5;0.142857;0.2;0.2;0.2;0.2;0.2;0.2;0.333333;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
mise;0.333333;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.2;0.333333;0.333333;0.1;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.2;0.333333;0.5;0.5;0.333333;0.125;0.333333;1;0.333333;0.2;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;1;0.333333;0.333333;1;0.333333;0.2;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
mode;0.333333;0.333333;0.333333;0.333333;0.125;1;0.333333;0.2;0.333333;0.333333;0.222222;0.5;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.5;1;0.5;0.333333;0.2;0.5;0.333333;0.285714;1;0.333333;0.333333;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;1;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
configuration;1;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.2;0.333333;0.333333;0.1;0.2;0.333333;0.333333;0.2;1;0.333333;0.333333;0.333333;0.2;0.333333;0.2;0.333333;0.2;0.2;1;0.125;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;1;1;0.333333;0.333333
xml;1;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.2;0.333333;0.333333;0.1;0.2;0.333333;0.333333;0.2;1;0.333333;0.333333;0.333333;0.2;0.333333;0.2;0.333333;0.2;0.2;1;0.125;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;1;1;0.333333;0.333333
postgresql;0.333333;0.333333;0.333333;0.333333;0.285714;0.333333;0.333333;0.5;0.333333;0.333333;0.1;0.2;1;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.5;0.333333;0.2;0.2;0.333333;0.285714;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
web;0.333333;1;1;0.333333;0.285714;0.333333;0.333333;0.5;1;0.333333;0.222222;0.5;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.125;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.5;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
méthode;0.333333;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.2;0.333333;0.333333;0.1;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.2;0.333333;0.5;0.5;0.333333;0.125;0.333333;1;0.333333;0.2;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;1;0.333333;0.333333;1;0.333333;0.2;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
bits;0.333333;0.333333;0.333333;0.333333;0.125;1;0.333333;0.2;0.333333;0.333333;0.222222;0.5;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.5;1;0.5;0.333333;0.2;0.5;0.333333;0.285714;1;0.333333;0.333333;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;1;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
foreach;0.333333;0.333333;0.333333;1;0.125;0.333333;0.333333;0.2;0.333333;1;0.222222;0.2;0.333333;0.333333;0.5;0.333333;1;1;1;0.2;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.125;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;1;1
pouvoir;0.333333;0.333333;0.333333;0.333333;0.125;1;0.333333;0.2;0.333333;0.333333;0.222222;0.5;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.5;1;0.5;0.333333;0.2;0.5;0.333333;0.285714;1;0.333333;0.333333;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;1;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
information;0.333333;1;1;0.333333;0.285714;0.333333;0.333333;0.5;1;0.333333;0.222222;0.5;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.125;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.5;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
timestamp;0.333333;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.2;0.333333;0.333333;0.1;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.2;1;0.5;0.2;0.333333;0.285714;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.5;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333
easyphp;0.333333;0.333333;0.333333;0.333333;0.125;1;0.333333;0.2;0.333333;0.333333;0.222222;0.5;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.5;1;0.5;0.333333;0.2;0.5;0.333333;0.285714;1;0.333333;0.333333;0.5;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;1;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
pouvoir;0.2;0.5;0.5;0.5;0.222222;0.2;0.2;0.333333;0.5;0.5;0.444444;0.333333;0.2;0.5;0.333333;0.2;0.5;0.5;0.5;0.333333;0.2;0.142857;0.2;0.142857;0.142857;0.2;0.1;0.2;0.2;0.2;0.142857;0.2;0.2;0.2;0.2;0.2;0.5;0.2;0.2;0.5;0.2;0.5;0.2;0.2;1;0.5;0.2;0.5;0.2;0.2;0.2;0.142857;0.2;0.2;0.2;0.2;0.5;0.2;0.2;0.5;0.5
impossible;0.333333;1;1;0.333333;0.285714;0.333333;0.333333;0.5;1;0.333333;0.222222;0.5;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.125;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.5;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
public;0.333333;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.2;0.333333;0.333333;0.1;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.2;0.333333;0.5;0.5;0.333333;0.125;0.333333;1;0.333333;0.2;1;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;1;0.333333;0.333333;1;0.333333;0.2;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
en-tête;0.333333;0.333333;0.333333;1;0.125;0.333333;0.333333;0.2;0.333333;1;0.222222;0.2;0.333333;0.333333;0.5;0.333333;1;1;1;0.2;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.125;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;1;1
client;1;0.333333;0.333333;0.333333;0.125;0.333333;0.333333;0.2;0.333333;0.333333;0.1;0.2;0.333333;0.333333;0.2;1;0.333333;0.333333;0.333333;0.2;0.333333;0.2;0.333333;0.2;0.2;1;0.125;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;1;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;1;1;0.333333;0.333333
