X ; navigateur bn:00013447n ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; code bn:00020354n ; texte bn:00076732n ; commentaire bn:00020978n ; post bn:01500184n ; nombre bn:00058285n ; text bn:14981519n ; sélectionner bn:00084931v ; langage bn:00049910n ; zones bn:00005513n ; utilisateur bn:00079373n ; personne bn:00046516n ; méthode post bn:00045088n ; passwd bn:14874750n ; mysql bn:01225760n ; salaire bn:15928884n ; site bn:00047172n ; types bn:00016413n ; session bn:03751534n ; langage de script bn:01431715n ; afficher bn:00087013v ; nécessaire bn:00107182a ; serveur bn:00044916n ; chaîne bn:00074685n ; helvetica bn:00043646n ; web bn:00080772n ; foreach bn:03463379n ; timestamp bn:03603649n ; pouvoir bn:00084451v ; bienvenue bn:00080852n ; paris bn:00015540n ; france bn:00036202n ; programmation web bn:03446093n ; interpréter bn:00089840v ; opérateurs bn:16281811n ; cle bn:04756252n ; classes bn:03608262n ; header bn:00043309n ; null bn:15898583n ; echo bn:03626250n ; positionnement bn:00030615n ; exe bn:14503132n ; rue bn:00074595n ; thomas bn:00005240n ; mysqli bn:01438356n ; transaction bn:01403911n ; exception bn:00032118n ; head bn:02338897n ; wamp bn:01708928n ; symfony bn:02798620n ; inverse bn:00056301n ; info bn:00046698n ; realisateur bn:00027369n ; généralité bn:00041249n ; autre bn:00108013a
nombre bn:00058285n ; 0.111801 ; 0.0289855 ; 0.133333 ; 0.188679 ; 0.183486 ; 0.0277778 ; 0.0338983 ; 0.0909091 ; 0.117318 ; 0.047619 ; 1 ; 0.0583333 ; 0.0192308 ; 0.0833333 ; 0.031746 ; 0.0703518 ; 0.153846 ; 0.0540541 ; 0.0425532 ; 0.138728 ; 0.0425532 ; 0.0526316 ; 0.125 ; 0.0930233 ; 0.1 ; 0.0392157 ; 0.0350877 ; 0.0208333 ; 0.311111 ; 0.0444444 ; 0.0506329 ; 0.0449438 ; 0.0289855 ; 0.0217391 ; 0.0196078 ; 0.0392157 ; 0.0816327 ; 0.150943 ; 0.155556 ; 0.0392157 ; 0.0707071 ; 0.0540541 ; 0.0238095 ; 0.115942 ; 0.0701754 ; 0.0444444 ; 0.0192308 ; 0.0192308 ; 0.0217391 ; 0.0816327 ; 0.0392157 ; 0.0208333 ; 0.0816327 ; 0.0392157 ; 0.0444444 ; 0.0444444 ; 0.0444444 ; 0.0444444 ; 0.0217391 ; 0.0217391
text bn:14981519n ; 0.166667 ; 0.0352423 ; 0.131915 ; 0.178862 ; 0.279476 ; 0.0347826 ; 0.0273973 ; 0.0689655 ; 0.348148 ; 0.223022 ; 0.0583333 ; 1 ; 0.0382775 ; 0.130802 ; 0.0361991 ; 0.265101 ; 0.0995671 ; 0.172161 ; 0.0191388 ; 0.293907 ; 0.0191388 ; 0.167464 ; 0.198347 ; 0.23445 ; 0.12 ; 0.168831 ; 0.0669856 ; 0.0191388 ; 0.0182648 ; 0.0047619 ; 0.181818 ; 0.394422 ; 0.124402 ; 0.00956938 ; 0.0188679 ; 0.0187793 ; 0.0382775 ; 0.076555 ; 0.0188679 ; 0.0382775 ; 0.153846 ; 0.21673 ; 0.0683761 ; 0.0711111 ; 0.076555 ; 0.00956938 ; 0.00930233 ; 0.00930233 ; 0.00956938 ; 0.00930233 ; 0.0382775 ; 0.00947867 ; 0.0382775 ; 0.0187793 ; 0.00956938 ; 0.00956938 ; 0.00956938 ; 0.00956938 ; 0.00956938 ; 0.00956938
sélectionner bn:00084931v ; 0.0142857 ; 0.133333 ; 0.0655738 ; 0.0113636 ; 0.010989 ; 0.0571429 ; 0.0909091 ; 0.0444444 ; 0.0251572 ; 0.0296296 ; 0.0192308 ; 0.0382775 ; 1 ; 0.0634921 ; 0.0769231 ; 0.0232558 ; 0.0192308 ; 0.017094 ; 0.2 ; 0.025641 ; 0.2 ; 0.0487805 ; 0.0470588 ; 0.0363636 ; 0.0408163 ; 0.0298507 ; 0.222222 ; 0.2 ; 0.047619 ; 0.111111 ; 0.0952381 ; 0.0275862 ; 0.133333 ; 0.25 ; 0.153846 ; 0.142857 ; 0.0666667 ; 0.0909091 ; 0.0714286 ; 0.0666667 ; 0.0147059 ; 0.0347826 ; 0.0888889 ; 0.025641 ; 0.2 ; 0.111111 ; 0.142857 ; 0.142857 ; 0.25 ; 0.0666667 ; 0.142857 ; 0.2 ; 0.142857 ; 0.0666667 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.25 ; 0.25
langage bn:00049910n ; 0.122093 ; 0.0897436 ; 0.115385 ; 0.129032 ; 0.125984 ; 0.0232558 ; 0.0273973 ; 0.0425532 ; 0.380645 ; 0.0857143 ; 0.0833333 ; 0.130802 ; 0.0634921 ; 1 ; 0.025974 ; 0.0707547 ; 0.130435 ; 0.14094 ; 0.0677966 ; 0.0765306 ; 0.0677966 ; 0.160494 ; 0.12 ; 0.08 ; 0.0851064 ; 0.0344828 ; 0.057971 ; 0.0327869 ; 0.123077 ; 0.0166667 ; 0.0898876 ; 0.0810811 ; 0.0493827 ; 0.0338983 ; 0.0153846 ; 0.0634921 ; 0.0307692 ; 0.0273973 ; 0.0645161 ; 0.0634921 ; 0.153846 ; 0.180556 ; 0.0869565 ; 0.213333 ; 0.056338 ; 0.0166667 ; 0.0307692 ; 0.0151515 ; 0.0166667 ; 0.0634921 ; 0.135593 ; 0.0327869 ; 0.0307692 ; 0.135593 ; 0.0338983 ; 0.0338983 ; 0.0338983 ; 0.0338983 ; 0.0166667 ; 0.0166667
zones bn:00005513n ; 0.084507 ; 0.179487 ; 0.0547945 ; 0.020202 ; 0.0196078 ; 0.289474 ; 0.125 ; 0.0350877 ; 0.0233918 ; 0.152672 ; 0.031746 ; 0.0361991 ; 0.0769231 ; 0.025974 ; 1 ; 0.0804598 ; 0.0655738 ; 0.0650407 ; 0.0434783 ; 0.075 ; 0.0434783 ; 0.0377358 ; 0.16092 ; 0.131148 ; 0.125 ; 0.109589 ; 0.133333 ; 0.0909091 ; 0.0625 ; 0.1 ; 0.0740741 ; 0.0522876 ; 0.0952381 ; 0.047619 ; 0.173913 ; 0.037037 ; 0.037037 ; 0.0588235 ; 0.0384615 ; 0.0769231 ; 0.0253165 ; 0.0314961 ; 0.0701754 ; 0.0196078 ; 0.0588235 ; 0.047619 ; 0.0769231 ; 0.166667 ; 0.1 ; 0.0769231 ; 0.0769231 ; 0.0434783 ; 0.0769231 ; 0.0769231 ; 0.047619 ; 0.047619 ; 0.047619 ; 0.047619 ; 0.1 ; 0.1
utilisateur bn:00079373n ; 0.166023 ; 0.0430108 ; 0.153846 ; 0.10177 ; 0.0632911 ; 0.0706522 ; 0.0635838 ; 0.0725389 ; 0.218868 ; 0.472906 ; 0.0703518 ; 0.265101 ; 0.0232558 ; 0.0707547 ; 0.0804598 ; 1 ; 0.20339 ; 0.111554 ; 0.0117647 ; 0.373391 ; 0.0117647 ; 0.0410256 ; 0.191388 ; 0.148148 ; 0.0394089 ; 0.192708 ; 0.0833333 ; 0.0117647 ; 0.0224719 ; 0.0119048 ; 0.107527 ; 0.568528 ; 0.102273 ; 0.0119048 ; 0.0416667 ; 0.047619 ; 0.0114943 ; 0.0952381 ; 0.0233918 ; 0.0232558 ; 0.0651163 ; 0.322275 ; 0.244048 ; 0.0416667 ; 0.0454545 ; 0.0119048 ; 0.0232558 ; 0.0232558 ; 0.0119048 ; 0.047619 ; 0.047619 ; 0.0238095 ; 0.047619 ; 0.047619 ; 0.00591716 ; 0.00591716 ; 0.00591716 ; 0.0119048 ; 0.0119048 ; 0.0119048
personne bn:00046516n ; 0.140127 ; 0.0289855 ; 0.0851064 ; 0.135135 ; 0.131579 ; 0.0277778 ; 0.0701754 ; 0.05 ; 0.290323 ; 0.157895 ; 0.153846 ; 0.0995671 ; 0.0192308 ; 0.130435 ; 0.0655738 ; 0.20339 ; 1 ; 0.0684932 ; 0.0425532 ; 0.0824176 ; 0.0208333 ; 0.111111 ; 0.0677966 ; 0.175 ; 0.0232558 ; 0.12766 ; 0.0727273 ; 0.0208333 ; 0.0727273 ; 0.0217391 ; 0.0506329 ; 0.24 ; 0.0597015 ; 0.0217391 ; 0.04 ; 0.0816327 ; 0.0392157 ; 0.150943 ; 0.155556 ; 0.0816327 ; 0.152174 ; 0.114286 ; 0.102564 ; 0.115942 ; 0.0338983 ; 0.0444444 ; 0.0192308 ; 0.0192308 ; 0.0217391 ; 0.0816327 ; 0.0816327 ; 0.0208333 ; 0.0816327 ; 0.177778 ; 0.0217391 ; 0.0217391 ; 0.0217391 ; 0.0444444 ; 0.0217391 ; 0.0217391
méthode post bn:00045088n ; 0.18932 ; 0.0620155 ; 0.0434783 ; 0.129412 ; 0.140351 ; 0.111111 ; 0.0495868 ; 0.102941 ; 0.127119 ; 0.105023 ; 0.0540541 ; 0.172161 ; 0.017094 ; 0.14094 ; 0.0650407 ; 0.111554 ; 0.0684932 ; 1 ; 0.00877193 ; 0.0562249 ; 0.0176991 ; 0.057971 ; 0.122807 ; 0.0958904 ; 0.1 ; 0.186207 ; 0.0330579 ; 0.036036 ; 0.0330579 ; 0.00892857 ; 0.0797101 ; 0.145455 ; 0.0787402 ; 0.00892857 ; 0.0630631 ; 0.017094 ; 0.0347826 ; 0.016 ; 0.0172414 ; 0.0347826 ; 0.178082 ; 0.11 ; 0.0935252 ; 0.0592593 ; 0.0325203 ; 0.00892857 ; 0.017094 ; 0.0347826 ; 0.018018 ; 0.017094 ; 0.017094 ; 0.0176991 ; 0.017094 ; 0.0347826 ; 0.018018 ; 0.018018 ; 0.018018 ; 0.00892857 ; 0.018018 ; 0.018018
passwd bn:14874750n ; 0.0147059 ; 0.0714286 ; 0.0338983 ; 0.0240964 ; 0.0232558 ; 0.03125 ; 0.0526316 ; 0.0487805 ; 0.0258065 ; 0.0150376 ; 0.0425532 ; 0.0191388 ; 0.2 ; 0.0677966 ; 0.0434783 ; 0.0117647 ; 0.0425532 ; 0.00877193 ; 1 ; 0.012987 ; 0.142857 ; 0.114286 ; 0.0240964 ; 0.0392157 ; 0.0444444 ; 0.015625 ; 0.0588235 ; 0.142857 ; 0.125 ; 0.2 ; 0.0243902 ; 0.013986 ; 0.0714286 ; 0.2 ; 0.1 ; 0.0909091 ; 0.0909091 ; 0.111111 ; 0.222222 ; 0.0909091 ; 0.015625 ; 0.0176991 ; 0.0227273 ; 0.0588235 ; 0.0526316 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.5 ; 0.2 ; 0.2
mysql bn:01225760n ; 0.130435 ; 0.0409357 ; 0.30625 ; 0.207254 ; 0.129187 ; 0.0838323 ; 0.0434783 ; 0.079096 ; 0.171756 ; 0.230435 ; 0.138728 ; 0.293907 ; 0.025641 ; 0.0765306 ; 0.075 ; 0.373391 ; 0.0824176 ; 0.0562249 ; 0.012987 ; 1 ; 0.0263158 ; 0.0446927 ; 0.232804 ; 0.182353 ; 0.114286 ; 0.139037 ; 0.0921053 ; 0.012987 ; 0.0506329 ; 0.0131579 ; 0.202532 ; 0.195918 ; 0.0470588 ; 0.0131579 ; 0.0258065 ; 0.025641 ; 0.025641 ; 0.105263 ; 0.0258065 ; 0.025641 ; 0.0703518 ; 0.421622 ; 0.162651 ; 0.0454545 ; 0.105263 ; 0.0131579 ; 0.0526316 ; 0.0526316 ; 0.0131579 ; 0.025641 ; 0.0526316 ; 0.0263158 ; 0.0526316 ; 0.025641 ; 0.0131579 ; 0.0131579 ; 0.0131579 ; 0.0131579 ; 0.0131579 ; 0.0131579
salaire bn:15928884n ; 0.00729927 ; 0.0344828 ; 0.0701754 ; 0.0240964 ; 0.0232558 ; 0.03125 ; 0.0526316 ; 0.0238095 ; 0.0258065 ; 0.0150376 ; 0.0425532 ; 0.0191388 ; 0.2 ; 0.0677966 ; 0.0434783 ; 0.0117647 ; 0.0208333 ; 0.0176991 ; 0.142857 ; 0.0263158 ; 1 ; 0.0263158 ; 0.0493827 ; 0.0392157 ; 0.0444444 ; 0.015625 ; 0.125 ; 0.142857 ; 0.125 ; 0.2 ; 0.105263 ; 0.013986 ; 0.0714286 ; 0.5 ; 0.1 ; 0.2 ; 0.2 ; 0.0526316 ; 0.1 ; 0.0909091 ; 0.031746 ; 0.036036 ; 0.0465116 ; 0.0588235 ; 0.25 ; 0.2 ; 0.2 ; 0.0909091 ; 0.2 ; 0.0909091 ; 0.2 ; 0.333333 ; 0.0909091 ; 0.0909091 ; 0.5 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.2
site bn:00047172n ; 0.190141 ; 0.0701754 ; 0.0823529 ; 0.16 ; 0.293478 ; 0.0322581 ; 0.02 ; 0.121212 ; 0.137725 ; 0.0921053 ; 0.0526316 ; 0.167464 ; 0.0487805 ; 0.160494 ; 0.0377358 ; 0.0410256 ; 0.111111 ; 0.057971 ; 0.114286 ; 0.0446927 ; 0.0263158 ; 1 ; 0.0357143 ; 0.105263 ; 0.114286 ; 0.0909091 ; 0.0425532 ; 0.0540541 ; 0.0425532 ; 0.0277778 ; 0.057971 ; 0.0864198 ; 0.0701754 ; 0.0277778 ; 0.0243902 ; 0.0487805 ; 0.102564 ; 0.0851064 ; 0.105263 ; 0.228571 ; 0.185185 ; 0.057971 ; 0.0555556 ; 0.135593 ; 0.0408163 ; 0.0571429 ; 0.0238095 ; 0.0238095 ; 0.0277778 ; 0.0487805 ; 0.102564 ; 0.0263158 ; 0.0487805 ; 0.102564 ; 0.0277778 ; 0.0277778 ; 0.0277778 ; 0.0571429 ; 0.0277778 ; 0.0277778
types bn:00016413n ; 0.125654 ; 0.038835 ; 0.104 ; 0.109589 ; 0.107383 ; 0.0679612 ; 0.0210526 ; 0.0714286 ; 0.113208 ; 0.232558 ; 0.125 ; 0.198347 ; 0.0470588 ; 0.12 ; 0.16092 ; 0.191388 ; 0.0677966 ; 0.122807 ; 0.0240964 ; 0.232804 ; 0.0493827 ; 0.0357143 ; 1 ; 0.27451 ; 0.137615 ; 0.0597015 ; 0.091954 ; 0.0240964 ; 0.091954 ; 0.0246914 ; 0.15534 ; 0.14433 ; 0.150538 ; 0.0246914 ; 0.047619 ; 0.0229885 ; 0.0229885 ; 0.0430108 ; 0.0232558 ; 0.0229885 ; 0.0289855 ; 0.185185 ; 0.0701754 ; 0.0366972 ; 0.0898876 ; 0.0121951 ; 0.0229885 ; 0.0229885 ; 0.0246914 ; 0.0470588 ; 0.0987654 ; 0.0240964 ; 0.0470588 ; 0.0470588 ; 0.0246914 ; 0.0246914 ; 0.0246914 ; 0.0246914 ; 0.0246914 ; 0.0246914
session bn:03751534n ; 0.0958084 ; 0.0273973 ; 0.0816327 ; 0.140351 ; 0.136752 ; 0.0540541 ; 0.031746 ; 0.1 ; 0.139665 ; 0.184211 ; 0.0930233 ; 0.23445 ; 0.0363636 ; 0.08 ; 0.131148 ; 0.148148 ; 0.175 ; 0.0958904 ; 0.0392157 ; 0.182353 ; 0.0392157 ; 0.105263 ; 0.27451 ; 1 ; 0.0952381 ; 0.145833 ; 0.0677966 ; 0.0392157 ; 0.0677966 ; 0.02 ; 0.225352 ; 0.17284 ; 0.119403 ; 0.02 ; 0.0769231 ; 0.0363636 ; 0.0754717 ; 0.140351 ; 0.0769231 ; 0.0754717 ; 0.0784314 ; 0.24031 ; 0.097561 ; 0.109589 ; 0.140351 ; 0.0408163 ; 0.0178571 ; 0.0363636 ; 0.0408163 ; 0.0363636 ; 0.0754717 ; 0.0192308 ; 0.0754717 ; 0.0754717 ; 0.0408163 ; 0.0408163 ; 0.0408163 ; 0.0408163 ; 0.0408163 ; 0.0408163
