X;page web;navigateur;serveur web;fichier;client;base de donnée;donnée;php;javascript;code;texte;concerner;commentaire;délimiter;gras;fois;lien hypertextes;url;case à cocher;post;nombre;text;langage;zones;utilisateur;affectation;syntaxe;case;associer;personne;structure de contrôle;méthode post;fermeture;passwd;machine;mysql;salaire;jour;programmation;site;paris;france;programmation web;session;chaîne;côté serveur;côté client;script;interpréter;serveur;type;opérateurs;list;pointeur;cle;méthode;conditionnelles;foreach;couleurs;valeur par défaut;classes;fonctionnalité;class;header;mot;visiteur;sauvegarder;null;web;positionnement;affiche;casse;internet;système;exe;menu;id;mysqli;head;attribut;valeur;moteur;timestamp;accéder
texte;0.5;0.333333;0.5;0.111111;0.1;0.2;0.0909091;0.0833333;0.2;0.2;1;0.5;0.142857;0.333333;0.2;0.2;0.2;0.333333;0.142857;0.2;0.285714;0.181818;0.2;0.333333;0.333333;0.2;0.2;0.142857;0.5;0.5;0.2;0.111111;0.2;0.2;0.5;0.333333;0.5;0.2;0.142857;0.2;0.2;0.2;0.142857;0.2;0.142857;0.2;0.2;0.111111;0.2;0.285714;0.2;0.2;0.2;0.2;0.142857;0.2;0.2;0.2;0.5;0.2;0.2;0.2;0.2;0.142857;0.2;0.2;0.5;0.2;0.2;0.2;0.2;0.2;0.5;0.5;0.2;0.5;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2
concerner;1;0.5;1;0.142857;0.0526316;0.333333;0.111111;0.1;0.333333;0.333333;0.5;1;0.2;0.5;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.142857;0.1;0.333333;0.5;0.5;0.333333;0.333333;0.2;1;1;0.333333;0.142857;0.333333;0.333333;1;0.5;1;0.333333;0.2;0.111111;0.333333;0.333333;0.2;0.333333;0.2;0.333333;0.333333;0.142857;0.333333;0.166667;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
commentaire;0.2;0.142857;0.2;0.25;0.1;0.2;0.0909091;0.181818;0.2;0.2;0.142857;0.2;1;0.333333;0.5;0.2;0.5;0.142857;0.333333;0.2;0.125;0.181818;0.2;0.142857;0.142857;0.2;0.2;0.142857;0.2;0.2;0.2;0.25;0.2;0.2;0.2;0.142857;0.2;0.2;0.142857;0.0909091;0.2;0.2;0.333333;0.2;0.142857;0.5;0.5;0.111111;0.5;0.285714;0.2;0.2;0.2;0.5;0.142857;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.142857;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.5;0.2;0.2;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
délimiter;0.5;0.333333;0.5;0.25;0.1;0.2;0.0909091;0.181818;0.2;0.2;0.333333;0.5;0.333333;1;0.2;0.2;0.2;0.142857;0.333333;0.2;0.285714;0.0833333;0.2;0.333333;0.333333;0.2;0.2;0.142857;0.5;0.5;0.2;0.111111;0.2;0.2;0.5;0.333333;0.5;0.2;0.142857;0.0909091;0.2;0.2;0.142857;0.2;0.142857;0.5;0.5;0.111111;0.5;0.285714;0.2;0.2;0.2;0.5;0.142857;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.142857;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.5;0.2;0.2;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2
gras;0.333333;0.2;0.333333;0.142857;0.0526316;0.333333;0.111111;0.1;0.333333;0.333333;0.2;0.333333;0.5;0.2;1;0.333333;1;0.2;0.2;0.333333;0.0666667;0.222222;0.333333;0.2;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.2;0.111111;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.333333;0.142857;0.333333;0.166667;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
fois;0.333333;0.2;0.333333;0.142857;0.111111;0.333333;0.25;0.222222;0.333333;1;0.2;0.333333;0.2;0.2;0.333333;1;0.333333;0.2;0.2;1;0.0666667;0.222222;0.333333;0.2;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.142857;0.333333;0.333333;0.333333;0.2;0.333333;1;0.2;0.25;1;0.333333;0.2;0.333333;0.2;0.333333;0.333333;0.142857;0.333333;0.166667;0.333333;1;0.333333;0.333333;0.5;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
lien hypertextes;0.333333;0.2;0.333333;0.142857;0.0526316;0.333333;0.111111;0.1;0.333333;0.333333;0.2;0.333333;0.5;0.2;1;0.333333;1;0.2;0.2;0.333333;0.0666667;0.222222;0.333333;0.2;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.2;0.111111;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.333333;0.142857;0.333333;0.166667;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
url;0.2;0.142857;0.2;0.25;0.222222;0.2;0.0909091;0.181818;0.2;0.2;0.333333;0.2;0.142857;0.142857;0.2;0.2;0.2;1;0.142857;0.2;0.125;0.181818;0.5;0.142857;0.142857;0.2;0.2;0.333333;0.2;0.2;0.2;0.111111;0.5;0.2;0.2;0.142857;0.2;0.2;0.142857;0.5;0.2;0.5;0.142857;0.5;0.333333;0.2;0.2;0.111111;0.2;0.285714;0.2;0.2;0.2;0.2;0.142857;0.2;0.2;0.2;0.5;0.2;0.2;0.2;0.2;0.333333;0.2;0.2;0.5;0.2;0.2;0.2;0.2;0.2;0.5;0.5;0.2;0.5;0.5;0.2;0.2;0.2;0.5;0.2;0.5;0.5
case à cocher;0.2;0.142857;0.2;0.25;0.222222;0.2;0.0909091;0.181818;0.2;0.2;0.142857;0.2;0.333333;0.333333;0.2;0.2;0.2;0.142857;1;0.2;0.125;0.0833333;0.2;0.142857;0.333333;0.2;0.2;0.142857;0.2;0.2;0.2;0.111111;0.2;0.5;0.2;0.142857;0.2;0.2;0.333333;0.0909091;0.2;0.2;0.333333;0.2;0.142857;0.5;0.5;0.111111;0.5;0.285714;0.2;0.2;0.2;0.5;0.142857;0.5;0.2;0.2;0.2;0.2;0.5;0.2;0.2;0.142857;0.2;0.2;0.2;0.2;0.5;0.2;0.2;0.5;0.2;0.2;0.5;0.2;0.2;0.2;0.5;0.5;0.2;0.2;0.2;0.2
post;0.333333;0.2;0.333333;0.142857;0.111111;0.333333;0.25;0.222222;0.333333;1;0.2;0.333333;0.2;0.2;0.333333;1;0.333333;0.2;0.2;1;0.0666667;0.222222;0.333333;0.2;0.2;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.142857;0.333333;0.333333;0.333333;0.2;0.333333;1;0.2;0.25;1;0.333333;0.2;0.333333;0.2;0.333333;0.333333;0.142857;0.333333;0.166667;0.333333;1;0.333333;0.333333;0.5;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;1;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
nombre;0.142857;0.285714;0.142857;0.111111;0.185185;0.142857;0.222222;0.0952381;0.142857;0.0666667;0.285714;0.142857;0.125;0.285714;0.0666667;0.0666667;0.0666667;0.125;0.125;0.0666667;1;0.210526;0.0666667;0.285714;0.125;0.142857;0.0666667;0.125;0.142857;0.142857;0.0666667;0.0526316;0.0666667;0.0666667;0.142857;0.285714;0.142857;0.0666667;0.0588235;0.1;0.0666667;0.0666667;0.0588235;0.0666667;0.125;0.142857;0.142857;0.111111;0.142857;0.357143;0.142857;0.0666667;0.0666667;0.142857;0.125;0.0666667;0.142857;0.0666667;0.142857;0.142857;0.0666667;0.0666667;0.0666667;0.125;0.142857;0.142857;0.142857;0.142857;0.0666667;0.0666667;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.0666667;0.0666667;0.0666667;0.0666667;0.142857;0.0666667;0.0666667
text;0.1;0.0833333;0.1;0.0714286;0.173913;0.1;0.307692;0.125;0.1;0.222222;0.181818;0.1;0.181818;0.0833333;0.222222;0.222222;0.222222;0.181818;0.0833333;0.222222;0.210526;1;0.1;0.181818;0.0833333;0.1;0.1;0.0833333;0.1;0.1;0.1;0.153846;0.1;0.1;0.1;0.0833333;0.1;0.222222;0.0833333;0.307692;0.222222;0.1;0.181818;0.1;0.0833333;0.1;0.1;0.153846;0.1;0.166667;0.222222;0.222222;0.1;0.1;0.181818;0.1;0.1;0.222222;0.222222;0.1;0.1;0.1;0.222222;0.0833333;0.222222;0.222222;0.222222;0.1;0.1;0.1;0.222222;0.1;0.222222;0.222222;0.1;0.222222;0.222222;0.222222;0.1;0.1;0.1;0.222222;0.1;0.1
langage;0.333333;0.2;0.333333;0.333333;0.111111;0.333333;0.111111;0.222222;0.333333;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.5;0.2;0.333333;0.0666667;0.1;1;0.2;0.2;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.142857;1;0.333333;0.333333;0.2;0.333333;0.333333;0.2;0.25;0.333333;1;0.2;1;0.5;0.333333;0.333333;0.142857;0.333333;0.166667;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;1;1
zones;0.5;0.333333;0.5;0.111111;0.047619;0.2;0.2;0.0833333;0.2;0.2;0.333333;0.5;0.142857;0.333333;0.2;0.2;0.2;0.142857;0.142857;0.2;0.285714;0.181818;0.2;1;0.333333;0.2;0.2;0.142857;0.5;0.5;0.2;0.111111;0.2;0.2;0.5;0.333333;0.5;0.2;0.142857;0.0909091;0.2;0.2;0.142857;0.2;0.142857;0.2;0.2;0.25;0.2;0.125;0.5;0.2;0.2;0.2;0.142857;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.142857;0.5;0.5;0.2;0.2;0.2;0.2;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.5;0.2;0.2
utilisateur;0.5;0.333333;0.5;0.111111;0.1;0.2;0.0909091;0.0833333;0.2;0.2;0.333333;0.5;0.142857;0.333333;0.2;0.2;0.2;0.142857;0.333333;0.2;0.125;0.0833333;0.2;0.333333;1;0.2;0.2;0.142857;0.5;0.5;0.2;0.111111;0.2;0.5;0.5;0.333333;0.5;0.2;0.333333;0.0909091;0.2;0.2;0.333333;0.2;0.142857;0.2;0.2;0.111111;0.2;0.125;0.2;0.2;0.2;0.2;0.142857;0.5;0.2;0.2;0.2;0.2;0.5;0.2;0.2;0.142857;0.2;0.2;0.2;0.2;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.5;0.5;0.2;0.2;0.2;0.2
affectation;0.333333;0.5;0.333333;0.142857;0.111111;1;0.25;0.1;1;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.142857;0.1;0.333333;0.2;0.2;1;0.333333;0.5;0.333333;0.333333;0.333333;0.142857;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.2;0.111111;0.333333;0.333333;0.2;0.333333;0.5;0.333333;0.333333;0.142857;0.333333;0.4;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;1;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
syntaxe;0.333333;0.2;0.333333;0.142857;0.0526316;0.333333;0.111111;0.222222;0.333333;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.0666667;0.1;0.333333;0.2;0.2;0.333333;1;0.2;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.5;0.111111;0.333333;0.333333;0.2;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.166667;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
case;0.2;0.333333;0.2;0.25;0.222222;0.5;0.2;0.181818;0.5;0.2;0.142857;0.2;0.142857;0.142857;0.2;0.2;0.2;0.333333;0.142857;0.2;0.125;0.0833333;0.5;0.142857;0.142857;0.5;0.2;1;0.2;0.2;0.2;0.111111;0.5;0.2;0.2;0.333333;0.2;0.2;0.142857;0.2;0.2;0.5;0.142857;0.5;1;0.2;0.2;0.111111;0.2;0.285714;0.2;0.2;0.2;0.2;0.333333;0.2;0.5;0.2;0.2;0.5;0.2;0.2;0.2;1;0.2;0.2;0.2;0.5;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.2;0.5;0.2;0.5;0.5
associer;1;0.5;1;0.142857;0.0526316;0.333333;0.111111;0.1;0.333333;0.333333;0.5;1;0.2;0.5;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.142857;0.1;0.333333;0.5;0.5;0.333333;0.333333;0.2;1;1;0.333333;0.142857;0.333333;0.333333;1;0.5;1;0.333333;0.2;0.111111;0.333333;0.333333;0.2;0.333333;0.2;0.333333;0.333333;0.142857;0.333333;0.166667;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
personne;1;0.5;1;0.142857;0.0526316;0.333333;0.111111;0.1;0.333333;0.333333;0.5;1;0.2;0.5;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.142857;0.1;0.333333;0.5;0.5;0.333333;0.333333;0.2;1;1;0.333333;0.142857;0.333333;0.333333;1;0.5;1;0.333333;0.2;0.111111;0.333333;0.333333;0.2;0.333333;0.2;0.333333;0.333333;0.142857;0.333333;0.166667;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
structure de contrôle;0.333333;0.2;0.333333;0.142857;0.0526316;0.333333;0.111111;0.222222;0.333333;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.2;0.2;0.333333;0.0666667;0.1;0.333333;0.2;0.2;0.333333;1;0.2;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.5;0.111111;0.333333;0.333333;0.2;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.166667;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333
méthode post;0.142857;0.111111;0.142857;0.2;0.0434783;0.142857;0.0769231;0.153846;0.142857;0.142857;0.111111;0.142857;0.25;0.111111;0.333333;0.142857;0.333333;0.111111;0.111111;0.142857;0.0526316;0.153846;0.142857;0.111111;0.111111;0.142857;0.333333;0.111111;0.142857;0.142857;0.333333;1;0.142857;0.142857;0.142857;0.111111;0.142857;0.142857;0.25;0.0769231;0.142857;0.142857;0.25;0.142857;0.111111;0.142857;0.142857;0.5;0.142857;0.1;0.142857;0.142857;0.333333;0.142857;0.111111;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.333333;0.142857;0.111111;0.142857;0.142857;0.142857;0.142857;0.142857;0.333333;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857;0.142857
fermeture;0.333333;0.2;0.333333;0.333333;0.111111;0.333333;0.111111;0.222222;0.333333;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.5;0.2;0.333333;0.0666667;0.1;1;0.2;0.2;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.142857;1;0.333333;0.333333;0.2;0.333333;0.333333;0.2;0.25;0.333333;1;0.2;1;0.5;0.333333;0.333333;0.142857;0.333333;0.166667;0.333333;0.333333;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.5;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;0.333333;1;1
passwd;0.333333;0.2;0.333333;0.142857;0.111111;0.333333;0.111111;0.1;0.333333;0.333333;0.2;0.333333;0.2;0.2;0.333333;0.333333;0.333333;0.2;0.5;0.333333;0.0666667;0.1;0.333333;0.2;0.5;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.142857;0.333333;1;0.333333;0.2;0.333333;0.333333;0.5;0.111111;0.333333;0.333333;0.5;0.333333;0.2;0.333333;0.333333;0.142857;0.333333;0.166667;0.333333;0.333333;0.333333;0.333333;0.2;1;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.2;0.333333;0.333333;0.333333;0.333333;1;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;0.333333;1;1;0.333333;0.333333;0.333333;0.333333
