X ; php bn:01753580n ; mysql bn:01225760n ; texte bn:00076732n ; fichier bn:00021475n ; données bn:00025314n ; types bn:00016413n ; session bn:03751534n ; base de donnees bn:00025333n ; entités bn:00031027n ; site bn:00047172n ; client web bn:00013447n ; langage de script bn:01431715n ; nombre bn:00058285n ; sélectionner bn:00084931v ; post bn:01500184n ; méthode get bn:00045088n ; code bn:00020354n ; utilisateur bn:00079373n ; afficher bn:00087013v ; nécessaire bn:00107182a ; serveur bn:00044916n ; fois bn:00032768n ; programmation bn:00021493n ; class bn:03598962n ; commentaires bn:00020978n ; composer bn:14766022n ; chaîne bn:00074685n ; syntaxe bn:00062118n ; personne bn:00046516n ; définition bn:00025928n ; langage bn:00049910n ; mode bn:00033729n ; configuration bn:03088982n ; xml bn:02771436n ; web bn:00080772n ; méthode bn:01641329n ; bits bn:00010731n ; foreach bn:03463379n ; pouvoir bn:00084450v ; information bn:00046705n ; varchar bn:01838409n ; timestamp bn:03603649n ; easyphp bn:14837849n ; insert bn:03795444n ; pouvoir bn:00084451v ; impossible bn:00104687a ; en-tête bn:00043309n ; client bn:00019764n ; file bn:00065682n ; echo bn:03626250n ; rue bn:00074595n ; exception bn:00032118n ; wamp bn:01708928n ; symfony bn:02798620n ; doctype bn:15839327n ; realisateur bn:00027369n ; null bn:15898583n
client web bn:00013447n ; 0.142857 ; 0.131148 ; 0.333333 ; 0.5 ; 0.2 ; 0.131148 ; 0.25 ; 0.2 ; 0.25 ; 0.111111 ; 1 ; 0.333333 ; 0.2 ; 0.2 ; 0.258065 ; 0.111111 ; 0.2 ; 0.129032 ; 0.2 ; 0.333333 ; 0.25 ; 0.131148 ; 0.0634921 ; 0.0909091 ; 0.111111 ; 0.0909091 ; 0.2 ; 0.131148 ; 0.333333 ; 0.129032 ; 0.2 ; 0.131148 ; 0.0526316 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.258065 ; 0.0909091 ; 0.25 ; 0.2 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.111111 ; 0.5 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.142857 ; 0.2 ; 0.0909091 ; 0.5 ; 0.111111 ; 0.111111 ; 0.25 ; 0.2
langage de script bn:01431715n ; 0.142857 ; 0.131148 ; 0.333333 ; 0.2 ; 0.2 ; 0.131148 ; 0.25 ; 0.2 ; 0.111111 ; 0.0526316 ; 0.333333 ; 1 ; 0.5 ; 0.2 ; 0.114286 ; 0.111111 ; 0.2 ; 0.0606061 ; 0.0909091 ; 0.142857 ; 0.25 ; 0.131148 ; 0.135593 ; 0.2 ; 0.111111 ; 0.0909091 ; 0.5 ; 0.131148 ; 0.142857 ; 0.129032 ; 0.2 ; 0.131148 ; 0.0526316 ; 0.0909091 ; 0.2 ; 0.5 ; 0.0909091 ; 0.114286 ; 0.0909091 ; 0.25 ; 0.2 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.111111 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.2 ; 0.333333 ; 0.2 ; 0.0909091 ; 0.2 ; 0.25 ; 0.25 ; 0.25 ; 0.5
nombre bn:00058285n ; 0.0909091 ; 0.0655738 ; 0.2 ; 0.111111 ; 0.25 ; 0.0655738 ; 0.125 ; 0.25 ; 0.0588235 ; 0.0588235 ; 0.2 ; 0.5 ; 1 ; 0.142857 ; 0.0606061 ; 0.0588235 ; 0.111111 ; 0.03125 ; 0.0526316 ; 0.0909091 ; 0.2 ; 0.0655738 ; 0.0677966 ; 0.25 ; 0.125 ; 0.0526316 ; 1 ; 0.0655738 ; 0.2 ; 0.0645161 ; 0.25 ; 0.0655738 ; 0.0588235 ; 0.0526316 ; 0.111111 ; 0.25 ; 0.111111 ; 0.0606061 ; 0.142857 ; 0.125 ; 0.25 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.2 ; 0.111111 ; 0.0526316 ; 0.111111 ; 0.111111 ; 0.2 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.5 ; 0.5 ; 0.5 ; 1
sélectionner bn:00084931v ; 0.2 ; 0.0655738 ; 0.2 ; 0.111111 ; 0.0526316 ; 0.0655738 ; 0.0588235 ; 0.0526316 ; 0.125 ; 0.0588235 ; 0.2 ; 0.2 ; 0.142857 ; 1 ; 0.129032 ; 0.0588235 ; 0.25 ; 0.0645161 ; 0.111111 ; 0.5 ; 0.5 ; 0.0655738 ; 0.0677966 ; 0.111111 ; 0.0588235 ; 0.25 ; 0.142857 ; 0.0655738 ; 0.0909091 ; 0.03125 ; 0.111111 ; 0.0655738 ; 0.0588235 ; 0.111111 ; 0.25 ; 0.111111 ; 0.111111 ; 0.129032 ; 0.333333 ; 0.0588235 ; 0.0526316 ; 0.25 ; 0.111111 ; 0.111111 ; 0.5 ; 0.25 ; 0.25 ; 0.111111 ; 0.25 ; 0.5 ; 0.333333 ; 0.333333 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.142857
post bn:01500184n ; 0.114286 ; 0.210526 ; 0.114286 ; 0.516129 ; 0.0930233 ; 0.508197 ; 0.340426 ; 0.0930233 ; 0.340426 ; 0.340426 ; 0.258065 ; 0.114286 ; 0.0606061 ; 0.129032 ; 1 ; 0.145455 ; 0.516129 ; 0.5 ; 0.205128 ; 0.258065 ; 0.0645161 ; 0.508197 ; 0.216216 ; 0.205128 ; 0.340426 ; 0.205128 ; 0.0606061 ; 0.508197 ; 0.258065 ; 0.207792 ; 0.205128 ; 0.508197 ; 0.145455 ; 0.205128 ; 0.205128 ; 0.205128 ; 0.516129 ; 1 ; 0.129032 ; 0.145455 ; 0.205128 ; 0.516129 ; 0.205128 ; 0.205128 ; 0.0645161 ; 0.516129 ; 0.205128 ; 0.0930233 ; 0.0930233 ; 0.114286 ; 0.0606061 ; 0.0606061 ; 0.129032 ; 0.03125 ; 0.03125 ; 0.0645161 ; 0.0606061
méthode get bn:00045088n ; 0.25 ; 0.207792 ; 0.111111 ; 0.2 ; 0.2 ; 0.207792 ; 0.333333 ; 0.2 ; 0.142857 ; 0.142857 ; 0.111111 ; 0.111111 ; 0.0588235 ; 0.0588235 ; 0.145455 ; 1 ; 0.0909091 ; 0.205128 ; 0.5 ; 0.111111 ; 0.0625 ; 0.207792 ; 0.213333 ; 0.0909091 ; 0.142857 ; 0.2 ; 0.0588235 ; 0.207792 ; 0.111111 ; 0.516129 ; 0.0909091 ; 0.207792 ; 0.333333 ; 0.5 ; 0.2 ; 0.2 ; 0.0909091 ; 0.145455 ; 0.0588235 ; 0.333333 ; 0.2 ; 0.0909091 ; 0.2 ; 0.2 ; 0.030303 ; 0.0909091 ; 0.2 ; 0.2 ; 0.2 ; 0.111111 ; 0.125 ; 0.0588235 ; 0.0588235 ; 0.0625 ; 0.0625 ; 0.030303 ; 0.0588235
code bn:00020354n ; 0.2 ; 0.115942 ; 0.2 ; 0.333333 ; 0.0666667 ; 0.262295 ; 0.2 ; 0.0666667 ; 0.2 ; 0.2 ; 0.2 ; 0.2 ; 0.111111 ; 0.25 ; 0.516129 ; 0.0909091 ; 1 ; 0.258065 ; 0.142857 ; 0.2 ; 0.125 ; 0.262295 ; 0.271186 ; 0.333333 ; 0.2 ; 0.333333 ; 0.111111 ; 0.262295 ; 0.2 ; 0.114286 ; 0.142857 ; 0.262295 ; 0.0909091 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.516129 ; 0.25 ; 0.0909091 ; 0.142857 ; 1 ; 0.142857 ; 0.142857 ; 0.125 ; 0.333333 ; 0.142857 ; 0.0666667 ; 0.142857 ; 0.2 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.0588235 ; 0.0588235 ; 0.125 ; 0.111111
utilisateur bn:00079373n ; 0.129032 ; 0.351648 ; 0.129032 ; 0.258065 ; 0.114286 ; 0.336957 ; 0.205128 ; 0.114286 ; 0.516129 ; 0.516129 ; 0.129032 ; 0.0606061 ; 0.03125 ; 0.0645161 ; 0.5 ; 0.205128 ; 0.258065 ; 1 ; 0.258065 ; 0.129032 ; 0.0322581 ; 0.336957 ; 0.359551 ; 0.114286 ; 0.205128 ; 0.258065 ; 0.03125 ; 0.336957 ; 0.129032 ; 0.347826 ; 0.114286 ; 0.336957 ; 0.205128 ; 0.258065 ; 0.114286 ; 0.114286 ; 0.258065 ; 0.5 ; 0.0645161 ; 0.205128 ; 0.114286 ; 0.258065 ; 0.114286 ; 0.114286 ; 0.0322581 ; 0.258065 ; 0.258065 ; 0.114286 ; 0.114286 ; 0.0606061 ; 0.0645161 ; 0.0645161 ; 0.0645161 ; 0.015873 ; 0.015873 ; 0.0322581 ; 0.03125
afficher bn:00087013v ; 0.5 ; 0.115942 ; 0.2 ; 0.333333 ; 0.142857 ; 0.115942 ; 0.2 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.0909091 ; 0.0526316 ; 0.111111 ; 0.205128 ; 0.5 ; 0.142857 ; 0.258065 ; 1 ; 0.2 ; 0.125 ; 0.115942 ; 0.119403 ; 0.0666667 ; 0.0909091 ; 0.333333 ; 0.0526316 ; 0.115942 ; 0.2 ; 0.258065 ; 0.0666667 ; 0.115942 ; 0.2 ; 1 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.205128 ; 0.111111 ; 0.2 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.0588235 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.0909091 ; 0.25 ; 0.111111 ; 0.111111 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.0526316
nécessaire bn:00107182a ; 0.142857 ; 0.131148 ; 0.142857 ; 0.2 ; 0.0909091 ; 0.131148 ; 0.111111 ; 0.0909091 ; 0.25 ; 0.111111 ; 0.333333 ; 0.142857 ; 0.0909091 ; 0.5 ; 0.258065 ; 0.111111 ; 0.2 ; 0.129032 ; 0.2 ; 1 ; 0.25 ; 0.131148 ; 0.0634921 ; 0.0909091 ; 0.111111 ; 0.2 ; 0.0909091 ; 0.131148 ; 0.142857 ; 0.0606061 ; 0.2 ; 0.131148 ; 0.111111 ; 0.2 ; 0.5 ; 0.0909091 ; 0.2 ; 0.258065 ; 0.2 ; 0.111111 ; 0.0909091 ; 0.2 ; 0.2 ; 0.2 ; 0.25 ; 0.5 ; 0.5 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.0909091
serveur bn:00044916n ; 0.25 ; 0.0327869 ; 0.25 ; 0.125 ; 0.0588235 ; 0.0327869 ; 0.0625 ; 0.0588235 ; 0.0625 ; 0.030303 ; 0.25 ; 0.25 ; 0.2 ; 0.5 ; 0.0645161 ; 0.0625 ; 0.125 ; 0.0322581 ; 0.125 ; 0.25 ; 1 ; 0.0327869 ; 0.0338983 ; 0.0588235 ; 0.030303 ; 0.125 ; 0.2 ; 0.0327869 ; 0.111111 ; 0.0322581 ; 0.0588235 ; 0.0327869 ; 0.030303 ; 0.125 ; 0.125 ; 0.125 ; 0.0588235 ; 0.0645161 ; 0.2 ; 0.0625 ; 0.0588235 ; 0.125 ; 0.0588235 ; 0.0588235 ; 0.333333 ; 0.125 ; 0.125 ; 0.0588235 ; 0.125 ; 0.25 ; 0.5 ; 0.2 ; 0.2 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.2
fois bn:00032768n ; 0.0615385 ; 0.355556 ; 0.0615385 ; 0.262295 ; 0.115942 ; 1 ; 0.52459 ; 0.115942 ; 0.207792 ; 0.207792 ; 0.131148 ; 0.131148 ; 0.0655738 ; 0.0655738 ; 0.508197 ; 0.207792 ; 0.262295 ; 0.336957 ; 0.115942 ; 0.131148 ; 0.0327869 ; 1 ; 0.348315 ; 0.262295 ; 0.52459 ; 0.115942 ; 0.0655738 ; 1 ; 0.131148 ; 0.351648 ; 0.262295 ; 1 ; 0.207792 ; 0.115942 ; 0.262295 ; 0.262295 ; 0.262295 ; 0.508197 ; 0.0655738 ; 0.207792 ; 0.262295 ; 0.262295 ; 0.262295 ; 0.262295 ; 0.0327869 ; 0.262295 ; 0.115942 ; 0.115942 ; 0.115942 ; 0.131148 ; 0.031746 ; 0.031746 ; 0.0655738 ; 0.0327869 ; 0.0327869 ; 0.0327869 ; 0.0655738
programmation bn:00021493n ; 0.135593 ; 0.348315 ; 0.135593 ; 0.119403 ; 0.119403 ; 0.348315 ; 0.213333 ; 0.119403 ; 0.213333 ; 0.213333 ; 0.0634921 ; 0.135593 ; 0.0677966 ; 0.0677966 ; 0.216216 ; 0.213333 ; 0.271186 ; 0.359551 ; 0.119403 ; 0.0634921 ; 0.0338983 ; 0.348315 ; 1 ; 0.271186 ; 0.213333 ; 0.271186 ; 0.0677966 ; 0.348315 ; 0.0634921 ; 0.344444 ; 0.119403 ; 0.348315 ; 0.213333 ; 0.119403 ; 0.119403 ; 0.271186 ; 0.119403 ; 0.216216 ; 0.0677966 ; 0.213333 ; 0.119403 ; 0.271186 ; 0.119403 ; 0.119403 ; 0.0338983 ; 0.119403 ; 0.119403 ; 0.119403 ; 0.271186 ; 0.135593 ; 0.0677966 ; 0.0677966 ; 0.0327869 ; 0.0338983 ; 0.0338983 ; 0.0338983 ; 0.0677966
class bn:03598962n ; 0.0909091 ; 0.115942 ; 0.0909091 ; 0.142857 ; 0.142857 ; 0.262295 ; 0.2 ; 0.142857 ; 0.0909091 ; 0.2 ; 0.0909091 ; 0.2 ; 0.25 ; 0.111111 ; 0.205128 ; 0.0909091 ; 0.333333 ; 0.114286 ; 0.0666667 ; 0.0909091 ; 0.0588235 ; 0.262295 ; 0.271186 ; 1 ; 0.5 ; 0.142857 ; 0.25 ; 0.262295 ; 0.2 ; 0.114286 ; 0.333333 ; 0.262295 ; 0.2 ; 0.0666667 ; 0.142857 ; 0.333333 ; 0.333333 ; 0.205128 ; 0.25 ; 0.0909091 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.333333 ; 0.125 ; 0.142857 ; 0.0666667 ; 0.142857 ; 0.142857 ; 0.2 ; 0.0526316 ; 0.111111 ; 0.111111 ; 0.125 ; 0.125 ; 0.125 ; 0.25
commentaires bn:00020978n ; 0.0526316 ; 0.207792 ; 0.0526316 ; 0.2 ; 0.2 ; 0.52459 ; 0.333333 ; 0.2 ; 0.142857 ; 0.333333 ; 0.111111 ; 0.111111 ; 0.125 ; 0.0588235 ; 0.340426 ; 0.142857 ; 0.2 ; 0.205128 ; 0.0909091 ; 0.111111 ; 0.030303 ; 0.52459 ; 0.213333 ; 0.5 ; 1 ; 0.0909091 ; 0.125 ; 0.52459 ; 0.25 ; 0.205128 ; 0.5 ; 0.52459 ; 0.333333 ; 0.0909091 ; 0.2 ; 0.2 ; 0.5 ; 0.340426 ; 0.125 ; 0.142857 ; 0.5 ; 0.2 ; 0.5 ; 0.5 ; 0.0625 ; 0.2 ; 0.0909091 ; 0.2 ; 0.0909091 ; 0.111111 ; 0.0285714 ; 0.0588235 ; 0.125 ; 0.0625 ; 0.0625 ; 0.0625 ; 0.125
composer bn:14766022n ; 0.5 ; 0.115942 ; 0.2 ; 0.142857 ; 0.0666667 ; 0.115942 ; 0.0909091 ; 0.0666667 ; 0.2 ; 0.2 ; 0.0909091 ; 0.0909091 ; 0.0526316 ; 0.25 ; 0.205128 ; 0.2 ; 0.333333 ; 0.258065 ; 0.333333 ; 0.2 ; 0.125 ; 0.115942 ; 0.271186 ; 0.142857 ; 0.0909091 ; 1 ; 0.0526316 ; 0.115942 ; 0.0909091 ; 0.114286 ; 0.0666667 ; 0.115942 ; 0.2 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.142857 ; 0.205128 ; 0.25 ; 0.0909091 ; 0.0666667 ; 0.333333 ; 0.142857 ; 0.142857 ; 0.125 ; 0.142857 ; 0.333333 ; 0.142857 ; 0.333333 ; 0.2 ; 0.25 ; 0.25 ; 0.0526316 ; 0.0588235 ; 0.0588235 ; 0.0588235 ; 0.0526316
chaîne bn:00074685n ; 0.0909091 ; 0.0655738 ; 0.2 ; 0.111111 ; 0.25 ; 0.0655738 ; 0.125 ; 0.25 ; 0.0588235 ; 0.0588235 ; 0.2 ; 0.5 ; 1 ; 0.142857 ; 0.0606061 ; 0.0588235 ; 0.111111 ; 0.03125 ; 0.0526316 ; 0.0909091 ; 0.2 ; 0.0655738 ; 0.0677966 ; 0.25 ; 0.125 ; 0.0526316 ; 1 ; 0.0655738 ; 0.2 ; 0.0645161 ; 0.25 ; 0.0655738 ; 0.0588235 ; 0.0526316 ; 0.111111 ; 0.25 ; 0.111111 ; 0.0606061 ; 0.142857 ; 0.125 ; 0.25 ; 0.111111 ; 0.111111 ; 0.111111 ; 0.2 ; 0.111111 ; 0.0526316 ; 0.111111 ; 0.111111 ; 0.2 ; 0.142857 ; 0.142857 ; 0.333333 ; 0.5 ; 0.5 ; 0.5 ; 1
