X ; fichier bn:00021475n ; client bn:00019764n ; base de donnée bn:00025333n ; donnée bn:00025314n ; php bn:01753580n ; code bn:00020354n ; texte bn:00076732n ; commentaire bn:00020978n ; délimiter bn:00086464v ; post bn:01500184n ; nombre bn:00058285n ; text bn:14981519n ; zones bn:00005513n ; personne bn:00046516n ; méthode post bn:00045088n ; mysql bn:01225760n ; salaire bn:15928884n ; site bn:00047172n ; france bn:00036202n ; langage de script bn:01431715n ; interpréter bn:00089840v ; serveur bn:00044916n ; côté client bn:03163702n ; typage bn:00016413n ; pointeur bn:03222272n ; casse bn:03225002n ; timestamp bn:03603649n ; session bn:03751534n ; chaîne bn:00074685n ; opérateur bn:16281811n ; classe bn:03608262n ; exceptions bn:00032118n ; xml bn:02771436n ; echo bn:03626250n ; files bn:00065682n ; class bn:03598962n ; configuration bn:03088982n ; insert bn:03795444n ; varchar bn:01838409n ; mise bn:00016287n ; transaction bn:01403911n ; valeur bn:00079508n ; visiteur bn:03106425n ; composer bn:14766022n ; doctype bn:15839327n ; positionnement bn:00030615n ; mysqli bn:01438356n ; null bn:15898583n ; généralité bn:00041249n ; autre bn:00108013a ; avoir accès bn:00082209v ; bienvenue bn:00080852n ; paris bn:00015540n
nombre bn:00058285n ; 0.0666667 ; 0.0833333 ; 0.366667 ; 0.297297 ; 0.0606061 ; 0.08 ; 0.24 ; 0.190476 ; 0.222222 ; 0.0784314 ; 1 ; 0.137931 ; 0.0454545 ; 0.228571 ; 0.130435 ; 0.133333 ; 0.105263 ; 0.125 ; 0.05 ; 0.08 ; 0.210526 ; 0.0952381 ; 0.08 ; 0.162162 ; 0.0952381 ; 0.105263 ; 0.08 ; 0.08 ; 0.210526 ; 0.05 ; 0.0625 ; 0.105263 ; 0.0454545 ; 0.05 ; 0.136364 ; 0.0952381 ; 0.0454545 ; 0.08 ; 0.0952381 ; 0.0384615 ; 0.173913 ; 0.0952381 ; 0.0833333 ; 0.173913 ; 0.173913 ; 0.105263 ; 0.0952381 ; 0.173913 ; 0.05 ; 0.05 ; 0.0454545 ; 0.05 ; 0.05
text bn:14981519n ; 0.132075 ; 0.148936 ; 0.301887 ; 0.381818 ; 0.145455 ; 0.0784314 ; 0.156863 ; 0.2 ; 0.285714 ; 0.40678 ; 0.137931 ; 1 ; 0.0851064 ; 0.126984 ; 0.176471 ; 0.319149 ; 0.0208333 ; 0.361702 ; 0.0425532 ; 0.170213 ; 0.0408163 ; 0.0851064 ; 0.170213 ; 0.290909 ; 0.0851064 ; 0.0425532 ; 0.170213 ; 0.170213 ; 0.0408163 ; 0.0425532 ; 0.148148 ; 0.0425532 ; 0.0851064 ; 0.0425532 ; 0.0816327 ; 0.0408163 ; 0.0408163 ; 0.0377358 ; 0.0851064 ; 0.0784314 ; 0.170213 ; 0.0851064 ; 0.08 ; 0.170213 ; 0.0377358 ; 0.0425532 ; 0.0408163 ; 0.0784314 ; 0.0425532 ; 0.0425532 ; 0.0408163 ; 0.0425532 ; 0.0208333
zones bn:00005513n ; 0.133333 ; 0.222222 ; 0.0833333 ; 0.0645161 ; 0.25 ; 0.2 ; 0.142857 ; 0.0606061 ; 0.16 ; 0.111111 ; 0.0454545 ; 0.0851064 ; 1 ; 0.0769231 ; 0.121212 ; 0.266667 ; 0.2 ; 0.105263 ; 0.2 ; 0.2 ; 0.142857 ; 0.333333 ; 0.5 ; 0.166667 ; 0.333333 ; 0.2 ; 0.2 ; 0.5 ; 0.142857 ; 0.5 ; 0.266667 ; 0.2 ; 1 ; 0.5 ; 0.25 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.5 ; 0.2 ; 0.333333 ; 0.571429 ; 0.2 ; 0.0909091 ; 0.2 ; 0.142857 ; 0.0909091 ; 0.5 ; 0.5 ; 0.333333 ; 0.5 ; 0.2
personne bn:00046516n ; 0.0571429 ; 0.148148 ; 0.210526 ; 0.177778 ; 0.25 ; 0.142857 ; 0.0588235 ; 0.774194 ; 0.195122 ; 0.153846 ; 0.228571 ; 0.126984 ; 0.0769231 ; 1 ; 0.163265 ; 0.258065 ; 0.0833333 ; 0.108108 ; 0.04 ; 0.0666667 ; 0.166667 ; 0.037037 ; 0.142857 ; 0.0909091 ; 0.0769231 ; 0.0833333 ; 0.0666667 ; 0.142857 ; 0.166667 ; 0.0833333 ; 0.258065 ; 0.04 ; 0.0769231 ; 0.04 ; 0.0344828 ; 0.166667 ; 0.166667 ; 0.333333 ; 0.166667 ; 0.142857 ; 0.142857 ; 0.0769231 ; 0.148148 ; 0.0666667 ; 0.333333 ; 0.04 ; 0.166667 ; 0.142857 ; 0.04 ; 0.04 ; 0.0769231 ; 0.04 ; 0.0833333
méthode post bn:00045088n ; 0.210526 ; 0.0526316 ; 0.122449 ; 0.169811 ; 0.195122 ; 0.108108 ; 0.153846 ; 0.142857 ; 0.288889 ; 0.38 ; 0.130435 ; 0.176471 ; 0.121212 ; 0.163265 ; 1 ; 0.0909091 ; 0.0606061 ; 0.136364 ; 0.0606061 ; 0.108108 ; 0.0571429 ; 0.121212 ; 0.108108 ; 0.266667 ; 0.121212 ; 0.0294118 ; 0.108108 ; 0.108108 ; 0.0571429 ; 0.0606061 ; 0.2 ; 0.0606061 ; 0.121212 ; 0.0606061 ; 0.181818 ; 0.0571429 ; 0.121212 ; 0.242424 ; 0.0571429 ; 0.242424 ; 0.108108 ; 0.121212 ; 0.212121 ; 0.108108 ; 0.108108 ; 0.0606061 ; 0.0571429 ; 0.108108 ; 0.0606061 ; 0.0606061 ; 0.121212 ; 0.0606061 ; 0.0606061
mysql bn:01225760n ; 0.0769231 ; 0.222222 ; 0.275862 ; 0.222222 ; 0.347826 ; 0.210526 ; 0.173913 ; 0.210526 ; 0.25 ; 0.186047 ; 0.133333 ; 0.319149 ; 0.266667 ; 0.258065 ; 0.0909091 ; 1 ; 0.0625 ; 0.142857 ; 0.0625 ; 0.210526 ; 0.117647 ; 0.117647 ; 0.533333 ; 0.258065 ; 0.117647 ; 0.133333 ; 0.210526 ; 0.533333 ; 0.117647 ; 0.133333 ; 0.363636 ; 0.0625 ; 0.266667 ; 0.133333 ; 0.105263 ; 0.117647 ; 0.117647 ; 0.0952381 ; 0.266667 ; 0.210526 ; 0.210526 ; 0.117647 ; 0.222222 ; 0.210526 ; 0.0952381 ; 0.0625 ; 0.117647 ; 0.0952381 ; 0.133333 ; 0.133333 ; 0.117647 ; 0.133333 ; 0.0625
salaire bn:15928884n ; 0.0714286 ; 0.125 ; 0.0434783 ; 0.0333333 ; 0.0588235 ; 0.111111 ; 0.0769231 ; 0.0645161 ; 0.08 ; 0.027027 ; 0.105263 ; 0.0208333 ; 0.2 ; 0.0833333 ; 0.0606061 ; 0.0625 ; 1 ; 0.0555556 ; 0.333333 ; 0.111111 ; 0.5 ; 0.2 ; 0.111111 ; 0.04 ; 0.2 ; 0.333333 ; 0.111111 ; 0.111111 ; 0.5 ; 0.333333 ; 0.0625 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.2 ; 0.2 ; 0.25 ; 0.2 ; 0.111111 ; 0.111111 ; 0.2 ; 0.285714 ; 0.111111 ; 0.25 ; 0.333333 ; 0.2 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333
site bn:00047172n ; 0.153846 ; 0.2 ; 0.258065 ; 0.352941 ; 0.0645161 ; 0.0416667 ; 0.16 ; 0.170732 ; 0.105263 ; 0.292683 ; 0.125 ; 0.361702 ; 0.105263 ; 0.108108 ; 0.136364 ; 0.142857 ; 0.0555556 ; 1 ; 0.117647 ; 0.190476 ; 0.105263 ; 0.105263 ; 0.190476 ; 0.242424 ; 0.235294 ; 0.117647 ; 0.190476 ; 0.190476 ; 0.105263 ; 0.117647 ; 0.142857 ; 0.117647 ; 0.105263 ; 0.0555556 ; 0.0952381 ; 0.105263 ; 0.105263 ; 0.0869565 ; 0.235294 ; 0.0869565 ; 0.470588 ; 0.235294 ; 0.0909091 ; 0.0869565 ; 0.0416667 ; 0.117647 ; 0.105263 ; 0.190476 ; 0.0555556 ; 0.0555556 ; 0.05 ; 0.0555556 ; 0.0555556
france bn:00036202n ; 0.0714286 ; 0.125 ; 0.0434783 ; 0.0689655 ; 0.0588235 ; 0.111111 ; 0.0769231 ; 0.03125 ; 0.0384615 ; 0.0555556 ; 0.05 ; 0.0425532 ; 0.2 ; 0.04 ; 0.0606061 ; 0.0625 ; 0.333333 ; 0.117647 ; 1 ; 0.25 ; 0.2 ; 0.2 ; 0.111111 ; 0.04 ; 0.2 ; 0.333333 ; 0.25 ; 0.111111 ; 0.2 ; 0.333333 ; 0.0625 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.2 ; 0.2 ; 0.111111 ; 0.2 ; 0.111111 ; 0.111111 ; 0.2 ; 0.125 ; 0.111111 ; 0.111111 ; 0.333333 ; 0.2 ; 0.111111 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333
langage de script bn:01431715n ; 0.105263 ; 0.0714286 ; 0.0714286 ; 0.121212 ; 0.0909091 ; 0.142857 ; 0.25 ; 0.0540541 ; 0.0645161 ; 0.222222 ; 0.08 ; 0.170213 ; 0.2 ; 0.0666667 ; 0.108108 ; 0.210526 ; 0.111111 ; 0.190476 ; 0.25 ; 1 ; 0.2 ; 0.2 ; 0.333333 ; 0.142857 ; 0.0909091 ; 0.25 ; 1 ; 0.333333 ; 0.2 ; 0.111111 ; 0.210526 ; 0.111111 ; 0.2 ; 0.25 ; 0.166667 ; 0.2 ; 0.0909091 ; 0.0666667 ; 0.2 ; 0.142857 ; 0.142857 ; 0.0909091 ; 0.153846 ; 0.142857 ; 0.0666667 ; 0.111111 ; 0.2 ; 0.142857 ; 0.25 ; 0.25 ; 0.2 ; 0.25 ; 0.111111
interpréter bn:00089840v ; 0.0625 ; 0.1 ; 0.0833333 ; 0.0645161 ; 0.0526316 ; 0.0909091 ; 0.142857 ; 0.129032 ; 0.0740741 ; 0.0526316 ; 0.210526 ; 0.0408163 ; 0.142857 ; 0.166667 ; 0.0571429 ; 0.117647 ; 0.5 ; 0.105263 ; 0.2 ; 0.2 ; 1 ; 0.142857 ; 0.2 ; 0.0769231 ; 0.142857 ; 0.5 ; 0.2 ; 0.2 ; 1 ; 0.2 ; 0.117647 ; 0.2 ; 0.142857 ; 0.2 ; 0.111111 ; 0.333333 ; 0.142857 ; 0.2 ; 0.333333 ; 0.0909091 ; 0.2 ; 0.142857 ; 0.222222 ; 0.0909091 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2
serveur bn:00044916n ; 0.307692 ; 0.1 ; 0.0833333 ; 0.0645161 ; 0.111111 ; 0.2 ; 0.333333 ; 0.0294118 ; 0.16 ; 0.111111 ; 0.0952381 ; 0.0851064 ; 0.333333 ; 0.037037 ; 0.121212 ; 0.117647 ; 0.2 ; 0.105263 ; 0.2 ; 0.2 ; 0.142857 ; 1 ; 0.2 ; 0.166667 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.117647 ; 0.5 ; 0.333333 ; 0.5 ; 0.666667 ; 0.142857 ; 0.142857 ; 0.0909091 ; 0.142857 ; 0.2 ; 0.2 ; 0.333333 ; 0.222222 ; 0.5 ; 0.0909091 ; 0.5 ; 0.142857 ; 0.2 ; 0.5 ; 0.5 ; 0.333333 ; 0.5 ; 0.2
côté client bn:03163702n ; 0.105263 ; 0.153846 ; 0.153846 ; 0.121212 ; 0.2 ; 0.142857 ; 0.25 ; 0.114286 ; 0.137931 ; 0.222222 ; 0.08 ; 0.170213 ; 0.5 ; 0.142857 ; 0.108108 ; 0.533333 ; 0.111111 ; 0.190476 ; 0.111111 ; 0.333333 ; 0.2 ; 0.2 ; 1 ; 0.333333 ; 0.2 ; 0.25 ; 0.333333 ; 1 ; 0.2 ; 0.25 ; 0.533333 ; 0.111111 ; 0.5 ; 0.25 ; 0.166667 ; 0.2 ; 0.2 ; 0.142857 ; 0.5 ; 0.333333 ; 0.333333 ; 0.2 ; 0.363636 ; 0.142857 ; 0.0666667 ; 0.111111 ; 0.2 ; 0.142857 ; 0.25 ; 0.25 ; 0.2 ; 0.25 ; 0.111111
typage bn:00016413n ; 0.121212 ; 0.0689655 ; 0.352941 ; 0.292683 ; 0.111111 ; 0.0666667 ; 0.5 ; 0.0784314 ; 0.195122 ; 0.363636 ; 0.162162 ; 0.290909 ; 0.166667 ; 0.0909091 ; 0.266667 ; 0.258065 ; 0.04 ; 0.242424 ; 0.04 ; 0.142857 ; 0.0769231 ; 0.166667 ; 0.333333 ; 1 ; 0.166667 ; 0.0833333 ; 0.142857 ; 0.333333 ; 0.0769231 ; 0.0833333 ; 0.258065 ; 0.0833333 ; 0.166667 ; 0.0833333 ; 0.25 ; 0.0769231 ; 0.0769231 ; 0.0666667 ; 0.166667 ; 0.142857 ; 0.333333 ; 0.166667 ; 0.148148 ; 0.142857 ; 0.0322581 ; 0.0833333 ; 0.0769231 ; 0.142857 ; 0.0833333 ; 0.0833333 ; 0.0769231 ; 0.0833333 ; 0.04
pointeur bn:03222272n ; 0.133333 ; 0.222222 ; 0.181818 ; 0.137931 ; 0.111111 ; 0.0909091 ; 0.142857 ; 0.0606061 ; 0.16 ; 0.111111 ; 0.0952381 ; 0.0851064 ; 0.333333 ; 0.0769231 ; 0.121212 ; 0.117647 ; 0.2 ; 0.235294 ; 0.2 ; 0.0909091 ; 0.142857 ; 0.333333 ; 0.2 ; 0.166667 ; 1 ; 0.2 ; 0.0909091 ; 0.2 ; 0.142857 ; 0.5 ; 0.117647 ; 0.5 ; 0.333333 ; 0.2 ; 0.25 ; 0.142857 ; 0.333333 ; 0.2 ; 0.333333 ; 0.2 ; 0.5 ; 1 ; 0.222222 ; 0.2 ; 0.0909091 ; 0.5 ; 0.142857 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2
casse bn:03225002n ; 0.0714286 ; 0.125 ; 0.0909091 ; 0.0689655 ; 0.0588235 ; 0.111111 ; 0.166667 ; 0.0645161 ; 0.0384615 ; 0.0555556 ; 0.105263 ; 0.0425532 ; 0.2 ; 0.0833333 ; 0.0294118 ; 0.133333 ; 0.333333 ; 0.117647 ; 0.333333 ; 0.25 ; 0.5 ; 0.2 ; 0.25 ; 0.0833333 ; 0.2 ; 1 ; 0.25 ; 0.25 ; 0.5 ; 0.333333 ; 0.133333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.142857 ; 0.5 ; 0.2 ; 0.111111 ; 0.5 ; 0.111111 ; 0.25 ; 0.2 ; 0.125 ; 0.111111 ; 0.111111 ; 0.333333 ; 0.5 ; 0.25 ; 0.333333 ; 0.333333 ; 0.2 ; 0.333333 ; 0.333333
timestamp bn:03603649n ; 0.105263 ; 0.0714286 ; 0.0714286 ; 0.121212 ; 0.0909091 ; 0.142857 ; 0.25 ; 0.0540541 ; 0.0645161 ; 0.222222 ; 0.08 ; 0.170213 ; 0.2 ; 0.0666667 ; 0.108108 ; 0.210526 ; 0.111111 ; 0.190476 ; 0.25 ; 1 ; 0.2 ; 0.2 ; 0.333333 ; 0.142857 ; 0.0909091 ; 0.25 ; 1 ; 0.333333 ; 0.2 ; 0.111111 ; 0.210526 ; 0.111111 ; 0.2 ; 0.25 ; 0.166667 ; 0.2 ; 0.0909091 ; 0.0666667 ; 0.2 ; 0.142857 ; 0.142857 ; 0.0909091 ; 0.153846 ; 0.142857 ; 0.0666667 ; 0.111111 ; 0.2 ; 0.142857 ; 0.25 ; 0.25 ; 0.2 ; 0.25 ; 0.111111
session bn:03751534n ; 0.105263 ; 0.153846 ; 0.153846 ; 0.121212 ; 0.2 ; 0.142857 ; 0.25 ; 0.114286 ; 0.137931 ; 0.222222 ; 0.08 ; 0.170213 ; 0.5 ; 0.142857 ; 0.108108 ; 0.533333 ; 0.111111 ; 0.190476 ; 0.111111 ; 0.333333 ; 0.2 ; 0.2 ; 1 ; 0.333333 ; 0.2 ; 0.25 ; 0.333333 ; 1 ; 0.2 ; 0.25 ; 0.533333 ; 0.111111 ; 0.5 ; 0.25 ; 0.166667 ; 0.2 ; 0.2 ; 0.142857 ; 0.5 ; 0.333333 ; 0.333333 ; 0.2 ; 0.363636 ; 0.142857 ; 0.0666667 ; 0.111111 ; 0.2 ; 0.142857 ; 0.25 ; 0.25 ; 0.2 ; 0.25 ; 0.111111
chaîne bn:00074685n ; 0.0625 ; 0.1 ; 0.0833333 ; 0.0645161 ; 0.0526316 ; 0.0909091 ; 0.142857 ; 0.129032 ; 0.0740741 ; 0.0526316 ; 0.210526 ; 0.0408163 ; 0.142857 ; 0.166667 ; 0.0571429 ; 0.117647 ; 0.5 ; 0.105263 ; 0.2 ; 0.2 ; 1 ; 0.142857 ; 0.2 ; 0.0769231 ; 0.142857 ; 0.5 ; 0.2 ; 0.2 ; 1 ; 0.2 ; 0.117647 ; 0.2 ; 0.142857 ; 0.2 ; 0.111111 ; 0.333333 ; 0.142857 ; 0.2 ; 0.333333 ; 0.0909091 ; 0.2 ; 0.142857 ; 0.222222 ; 0.0909091 ; 0.2 ; 0.2 ; 0.333333 ; 0.2 ; 0.2 ; 0.2 ; 0.142857 ; 0.2 ; 0.2
